Wavelength[nm],f/6 + AOI 0 deg,
2481,2.00E-04,
2480,2.05E-04,
2479,2.12E-04,
2478,2.20E-04,
2477,2.30E-04,
2476,2.42E-04,
2475,2.57E-04,
2474,2.75E-04,
2473,2.96E-04,
2472,3.21E-04,
2471,3.52E-04,
2470,3.89E-04,
2469,4.35E-04,
2468,4.90E-04,
2467,5.58E-04,
2466,6.41E-04,
2465,7.42E-04,
2464,8.61E-04,
2463,9.98E-04,
2462,1.14E-03,
2461,1.29E-03,
2460,1.39E-03,
2459,1.45E-03,
2458,1.42E-03,
2457,1.33E-03,
2456,1.19E-03,
2455,1.04E-03,
2454,8.84E-04,
2453,7.46E-04,
2452,6.29E-04,
2451,5.33E-04,
2450,4.55E-04,
2449,3.91E-04,
2448,3.40E-04,
2447,2.99E-04,
2446,2.65E-04,
2445,2.37E-04,
2444,2.14E-04,
2443,1.95E-04,
2442,1.79E-04,
2441,1.66E-04,
2440,1.55E-04,
2439,1.45E-04,
2438,1.38E-04,
2437,1.31E-04,
2436,1.26E-04,
2435,1.21E-04,
2434,1.18E-04,
2433,1.15E-04,
2432,1.13E-04,
2431,1.12E-04,
2430,1.12E-04,
2429,1.12E-04,
2428,1.13E-04,
2427,1.14E-04,
2426,1.16E-04,
2425,1.19E-04,
2424,1.23E-04,
2423,1.28E-04,
2422,1.34E-04,
2421,1.40E-04,
2420,1.48E-04,
2419,1.57E-04,
2418,1.67E-04,
2417,1.78E-04,
2416,1.91E-04,
2415,2.04E-04,
2414,0.000218575,
2413,0.000232648,
2412,0.000245867,
2411,0.00025704,
2410,0.000265033,
2409,0.000268782,
2408,0.000267485,
2407,0.000261096,
2406,0.00025015,
2405,2.36E-04,
2404,2.19E-04,
2403,2.01E-04,
2402,1.83E-04,
2401,1.67E-04,
2400,1.51E-04,
2399,1.37E-04,
2398,1.25E-04,
2397,1.14E-04,
2396,1.05E-04,
2395,9.67E-05,
2394,8.98E-05,
2393,8.40E-05,
2392,7.92E-05,
2391,7.51E-05,
2390,7.19E-05,
2389,6.93E-05,
2388,6.73E-05,
2387,6.60E-05,
2386,6.52E-05,
2385,6.51E-05,
2384,6.56E-05,
2383,6.69E-05,
2382,6.89E-05,
2381,7.19E-05,
2380,7.61E-05,
2379,8.17E-05,
2378,8.94E-05,
2377,9.97E-05,
2376,1.14E-04,
2375,1.34E-04,
2374,1.64E-04,
2373,2.10E-04,
2372,2.86E-04,
2371,4.24E-04,
2370,7.00E-04,
2369,1.22E-03,
2368,1.70E-03,
2367,1.61E-03,
2366,1.12E-03,
2365,6.39E-04,
2364,3.34E-04,
2363,0.00019002,
2362,0.000118796,
2361,7.98E-05,
2360,5.65E-05,
2359,4.16E-05,
2358,3.17E-05,
2357,2.47E-05,
2356,1.96E-05,
2355,1.59E-05,
2354,1.31E-05,
2353,1.09E-05,
2352,9.19E-06,
2351,7.83E-06,
2350,6.73E-06,
2349,5.83E-06,
2348,5.09E-06,
2347,4.47E-06,
2346,3.96E-06,
2345,3.53E-06,
2344,3.16E-06,
2343,2.84E-06,
2342,2.57E-06,
2341,2.34E-06,
2340,2.13E-06,
2339,1.95E-06,
2338,1.80E-06,
2337,1.66E-06,
2336,1.54E-06,
2335,1.44E-06,
2334,1.34E-06,
2333,1.26E-06,
2332,1.18E-06,
2331,1.12E-06,
2330,1.06E-06,
2329,1.01E-06,
2328,9.57E-07,
2327,9.15E-07,
2326,8.77E-07,
2325,8.42E-07,
2324,8.12E-07,
2323,7.85E-07,
2322,7.60E-07,
