Wavelength[nm],r%,,,T% at AOI 45 deg
2163,1.36423,,,98.63577
2162,1.36802,,,98.63198
2161,1.34586,,,98.65414
2160,1.36071,,,98.63929
2159,1.37453,,,98.62547
2158,1.35226,,,98.64774
2157,1.35768,,,98.64232
2156,1.37844,,,98.62156
2155,1.36025,,,98.63975
2154,1.35596,,,98.64404
2153,1.37994,,,98.62006
2152,1.36873,,,98.63127
2151,1.35609,,,98.64391
2150,1.37952,,,98.62048
2149,1.37673,,,98.62327
2148,1.35821,,,98.64179
2147,1.37787,,,98.62213
2146,1.38352,,,98.61648
2145,1.36208,,,98.63792
2144,1.37572,,,98.62428
2143,1.38869,,,98.61131
2142,1.36726,,,98.63274
2141,1.37369,,,98.62631
2140,1.39207,,,98.60793
2139,1.37316,,,98.62684
2138,1.37222,,,98.62778
2137,1.3938,,,98.6062
2136,1.37922,,,98.62078
2135,1.37154,,,98.62846
2134,1.39409,,,98.60591
2133,1.38494,,,98.61506
2132,1.37173,,,98.62827
2131,1.39328,,,98.60672
2130,1.38993,,,98.61007
2129,1.37268,,,98.62732
2128,1.39169,,,98.60831
2127,1.39397,,,98.60603
2126,1.3742,,,98.6258
2125,1.3896,,,98.6104
2124,1.39693,,,98.60307
2123,1.37607,,,98.62393
2122,1.38727,,,98.61273
2121,1.39878,,,98.60122
2120,1.37805,,,98.62195
2119,1.38947,,,98.61053
2118,1.39745,,,98.60255
2117,1.37904,,,98.62096
2116,1.39914,,,98.60086
2115,1.39233,,,98.60767
2114,1.3852,,,98.6148
2113,1.4037,,,98.5963
2112,1.38779,,,98.61221
2111,1.39413,,,98.60587
2110,1.40247,,,98.59753
2109,1.38661,,,98.61339
2108,1.39426,,,98.60574
2107,1.40201,,,98.59799
2106,1.38611,,,98.61389
2105,1.38995,,,98.61005
2104,1.40055,,,98.59945
2103,1.38559,,,98.61441
2102,1.38563,,,98.61437
2101,1.39822,,,98.60178
2100,1.38493,,,98.61507
2099,1.38136,,,98.61864
2098,1.3951,,,98.6049
2097,1.38406,,,98.61594
2096,1.37717,,,98.62283
2095,1.39137,,,98.60863
2094,1.38289,,,98.61711
2093,1.37321,,,98.62679
2092,1.3872,,,98.6128
2091,1.38137,,,98.61863
2090,1.36946,,,98.63054
2089,1.3828,,,98.6172
2088,1.37946,,,98.62054
2087,1.36598,,,98.63402
2086,1.37837,,,98.62163
2085,1.37726,,,98.62274
2084,1.36268,,,98.63732
2083,1.37399,,,98.62601
2082,1.37482,,,98.62518
2081,1.35954,,,98.64046
2080,1.36974,,,98.63026
2079,1.37227,,,98.62773
2078,1.35658,,,98.64342
2077,1.36573,,,98.63427
2076,1.36967,,,98.63033
2075,1.3538,,,98.6462
2074,1.36205,,,98.63795
2073,1.36713,,,98.63287
2072,1.35123,,,98.64877
2071,1.35877,,,98.64123
2070,1.36473,,,98.63527
2069,1.34892,,,98.65108
2068,1.35595,,,98.64405
2067,1.36253,,,98.63747
2066,1.34689,,,98.65311
2065,1.35364,,,98.64636
2064,1.36062,,,98.63938
2063,1.34516,,,98.65484
2062,1.3519,,,98.6481
2061,1.35905,,,98.64095
2060,1.3438,,,98.6562
2059,1.35077,,,98.64923
2058,1.35789,,,98.64211
2057,1.34284,,,98.65716
2056,1.35028,,,98.64972
2055,1.35715,,,98.64285
2054,1.34234,,,98.65766
2053,1.35048,,,98.64952
2052,1.35685,,,98.64315
2051,1.34232,,,98.65768
2050,1.35137,,,98.64863
2049,1.35699,,,98.64301
2048,1.34283,,,98.65717
