Wavelength[nm],Transmission,,R% at AOI 45 deg
2300,99.32945,,0.67055
2299,99.3289,,0.6711
2298,99.32837,,0.67163
2297,99.32784,,0.67216
2296,99.32734,,0.67266
2295,99.32684,,0.67316
2294,99.32637,,0.67363
2293,99.32591,,0.67409
2292,99.32546,,0.67454
2291,99.32503,,0.67497
2290,99.32462,,0.67538
2289,99.32423,,0.67577
2288,99.32385,,0.67615
2287,99.32349,,0.67651
2286,99.32315,,0.67685
2285,99.32283,,0.67717
2284,99.32253,,0.67747
2283,99.32224,,0.67776
2282,99.32198,,0.67802
2281,99.32173,,0.67827
2280,99.32151,,0.67849
2279,99.3213,,0.6787
2278,99.32111,,0.67889
2277,99.32094,,0.67906
2276,99.32079,,0.67921
2275,99.32066,,0.67934
2274,99.32055,,0.67945
2273,99.32047,,0.67953
2272,99.3204,,0.6796
2271,99.32035,,0.67965
2270,99.32032,,0.67968
2269,99.32032,,0.67968
2268,99.32034,,0.67966
2267,99.32038,,0.67962
2266,99.32044,,0.67956
2265,99.32052,,0.67948
2264,99.32062,,0.67938
2263,99.32074,,0.67926
2262,99.32088,,0.67912
2261,99.32104,,0.67896
2260,99.32122,,0.67878
2259,99.32142,,0.67858
2258,99.32163,,0.67837
2257,99.32187,,0.67813
2256,99.32212,,0.67788
2255,99.3224,,0.6776
2254,99.32269,,0.67731
2253,99.323,,0.677
2252,99.32333,,0.67667
2251,99.32368,,0.67632
2250,99.32405,,0.67595
2249,99.32444,,0.67556
2248,99.32485,,0.67515
2247,99.32527,,0.67473
2246,99.32571,,0.67429
2245,99.32617,,0.67383
2244,99.32664,,0.67336
2243,99.32713,,0.67287
2242,99.32763,,0.67237
2241,99.32815,,0.67185
2240,99.32868,,0.67132
2239,99.32922,,0.67078
2238,99.32978,,0.67022
2237,99.33035,,0.66965
2236,99.33093,,0.66907
2235,99.33153,,0.66847
2234,99.33213,,0.66787
2233,99.33275,,0.66725
2232,99.33338,,0.66662
2231,99.33402,,0.66598
2230,99.33467,,0.66533
2229,99.33533,,0.66467
2228,99.336,,0.664
2227,99.33667,,0.66333
2226,99.33736,,0.66264
2225,99.33805,,0.66195
2224,99.33875,,0.66125
2223,99.33945,,0.66055
2222,99.34016,,0.65984
2221,99.34088,,0.65912
2220,99.3416,,0.6584
2219,99.34232,,0.65768
2218,99.34305,,0.65695
2217,99.34378,,0.65622
2216,99.34451,,0.65549
2215,99.34524,,0.65476
2214,99.34597,,0.65403
2213,99.3467,,0.6533
2212,99.34743,,0.65257
2211,99.34816,,0.65184
2210,99.34889,,0.65111
2209,99.34961,,0.65039
2208,99.35034,,0.64966
2207,99.35106,,0.64894
2206,99.35178,,0.64822
2205,99.35249,,0.64751
2204,99.3532,,0.6468
2203,99.3539,,0.6461
2202,99.3546,,0.6454
2201,99.35528,,0.64472
2200,99.35597,,0.64403
2199,99.35664,,0.64336
2198,99.3573,,0.6427
2197,99.35795,,0.64205
2196,99.3586,,0.6414
2195,99.35923,,0.64077
2194,99.35986,,0.64014
2193,99.36047,,0.63953
2192,99.36107,,0.63893
2191,99.36165,,0.63835
2190,99.36223,,0.63777
2189,99.36279,,0.63721
2188,99.36334,,0.63666
2187,99.36388,,0.63612
2186,99.3644,,0.6356
2185,99.36491,,0.63509
2184,99.3654,,0.6346
2183,99.36588,,0.63412
2182,99.36634,,0.63366
2181,99.36679,,0.63321
2180,99.36722,,0.63278
2179,99.36763,,0.63237
2178,99.36803,,0.63197
2177,99.3684,,0.6316
2176,99.36876,,0.63124
2175,99.36911,,0.63089
2174,99.36943,,0.63057
2173,99.36974,,0.63026
2172,99.37003,,0.62997
2171,99.3703,,0.6297
2170,99.37055,,0.62945
2169,99.37078,,0.62922
2168,99.37099,,0.62901
2167,99.37118,,0.62882
2166,99.37135,,0.62865
2165,99.3715,,0.6285
2164,99.37163,,0.62837
2163,99.37175,,0.62825
2162,99.37184,,0.62816
2161,99.37191,,0.62809
2160,99.37197,,0.62803
2159,99.372,,0.628
2158,99.37201,,0.62799
2157,99.372,,0.628
2156,99.37197,,0.62803
2155,99.37192,,0.62808
2154,99.37185,,0.62815
2153,99.37177,,0.62823
2152,99.37166,,0.62834
2151,99.37154,,0.62846
2150,99.3714,,0.6286
2149,99.37123,,0.62877
2148,99.37106,,0.62894
2147,99.37086,,0.62914
2146,99.37064,,0.62936
2145,99.37041,,0.62959
2144,99.37016,,0.62984
2143,99.36989,,0.63011
2142,99.36961,,0.63039
2141,99.36931,,0.63069
2140,99.36899,,0.63101
2139,99.36866,,0.63134
2138,99.36831,,0.63169
2137,99.36794,,0.63206
2136,99.36756,,0.63244
2135,99.36717,,0.63283
2134,99.36676,,0.63324
2133,99.36634,,0.63366
2132,99.3659,,0.6341
2131,99.36546,,0.63454
2130,99.365,,0.635
2129,99.36453,,0.63547
2128,99.36405,,0.63595
2127,99.36357,,0.63643
2126,99.36307,,0.63693
2125,99.36256,,0.63744
2124,99.36204,,0.63796
2123,99.36151,,0.63849
2122,99.36097,,0.63903
2121,99.36043,,0.63957
2120,99.35988,,0.64012
2119,99.35891,,0.64109
2118,99.35795,,0.64205
2117,99.35701,,0.64299
2116,99.35608,,0.64392
2115,99.35517,,0.64483
2114,99.35428,,0.64572
2113,99.3534,,0.6466
2112,99.35254,,0.64746
2111,99.35171,,0.64829
2110,99.35089,,0.64911
2109,99.35044,,0.64956
2108,99.34998,,0.65002
2107,99.34952,,0.65048
2106,99.34905,,0.65095
2105,99.34859,,0.65141
2104,99.34812,,0.65188
2103,99.34765,,0.65235
2102,99.34719,,0.65281
2101,99.34672,,0.65328
2100,99.34625,,0.65375
2099,99.34578,,0.65422
2098,99.34531,,0.65469
2097,99.34484,,0.65516
2096,99.34438,,0.65562
2095,99.34391,,0.65609
2094,99.34345,,0.65655
2093,99.34299,,0.65701
2092,99.34253,,0.65747
2091,99.34208,,0.65792
2090,99.34162,,0.65838
2089,99.34117,,0.65883
2088,99.34072,,0.65928
2087,99.34028,,0.65972
2086,99.33984,,0.66016
2085,99.33941,,0.66059
2084,99.33898,,0.66102
2083,99.33856,,0.66144
2082,99.33814,,0.66186
2081,99.33773,,0.66227
2080,99.33732,,0.66268
2079,99.33693,,0.66307
2078,99.33653,,0.66347
2077,99.33615,,0.66385
2076,99.33577,,0.66423
2075,99.3354,,0.6646
2074,99.33504,,0.66496
2073,99.33469,,0.66531
2072,99.33434,,0.66566
2071,99.334,,0.666
2070,99.33367,,0.66633
2069,99.33335,,0.66665
2068,99.33304,,0.66696
2067,99.33274,,0.66726
2066,99.33245,,0.66755
2065,99.33216,,0.66784
2064,99.33189,,0.66811
2063,99.33162,,0.66838
2062,99.33137,,0.66863
2061,99.33112,,0.66888
2060,99.33089,,0.66911
2059,99.33066,,0.66934
2058,99.33043,,0.66957
2057,99.33022,,0.66978
2056,99.33002,,0.66998
2055,99.32983,,0.67017
2054,99.32964,,0.67036
2053,99.32947,,0.67053
2052,99.32931,,0.67069
2051,99.32915,,0.67085
2050,99.32901,,0.67099
2049,99.32887,,0.67113
2048,99.32874,,0.67126
2047,99.32863,,0.67137
2046,99.32852,,0.67148
2045,99.32842,,0.67158
2044,99.32833,,0.67167
2043,99.32824,,0.67176
2042,99.32817,,0.67183
2041,99.3281,,0.6719
2040,99.32805,,0.67195
2039,99.328,,0.672
2038,99.32796,,0.67204
2037,99.32793,,0.67207
2036,99.3279,,0.6721
2035,99.32788,,0.67212
2034,99.32787,,0.67213
2033,99.32787,,0.67213
2032,99.32788,,0.67212
2031,99.32789,,0.67211
2030,99.32791,,0.67209
2029,99.32793,,0.67207
2028,99.32796,,0.67204
2027,99.328,,0.672
2026,99.32804,,0.67196
2025,99.32809,,0.67191
2024,99.32814,,0.67186
2023,99.3282,,0.6718
2022,99.32826,,0.67174
2021,99.32833,,0.67167
2020,99.3284,,0.6716
2019,99.32847,,0.67153
2018,99.32854,,0.67146
2017,99.32862,,0.67138
2016,99.3287,,0.6713
2015,99.32878,,0.67122
2014,99.32887,,0.67113
2013,99.32896,,0.67104
2012,99.32905,,0.67095
2011,99.32914,,0.67086
2010,99.32924,,0.67076
2009,99.32933,,0.67067
2008,99.32942,,0.67058
2007,99.32952,,0.67048
2006,99.32961,,0.67039
2005,99.3297,,0.6703
2004,99.3298,,0.6702
2003,99.32989,,0.67011
2002,99.32998,,0.67002
2001,99.33007,,0.66993
2000,99.33016,,0.66984
1999,99.33025,,0.66975
1998,99.33035,,0.66965
1997,99.33043,,0.66957
1996,99.33052,,0.66948
1995,99.33061,,0.66939
1994,99.33069,,0.66931
1993,99.33077,,0.66923
1992,99.33085,,0.66915
1991,99.33093,,0.66907
1990,99.331,,0.669
1989,99.33107,,0.66893
1988,99.33113,,0.66887
1987,99.33119,,0.66881
1986,99.33124,,0.66876
1985,99.33129,,0.66871
1984,99.33134,,0.66866
1983,99.33138,,0.66862
1982,99.33142,,0.66858
1981,99.33146,,0.66854
1980,99.33149,,0.66851
1979,99.33152,,0.66848
1978,99.33154,,0.66846
1977,99.33156,,0.66844
1976,99.33158,,0.66842
1975,99.33159,,0.66841
1974,99.3316,,0.6684
1973,99.3316,,0.6684
1972,99.3316,,0.6684
1971,99.3316,,0.6684
1970,99.33159,,0.66841
1969,99.33158,,0.66842
1968,99.33157,,0.66843
1967,99.33155,,0.66845
1966,99.33153,,0.66847
1965,99.3315,,0.6685
1964,99.33147,,0.66853
1963,99.33144,,0.66856
1962,99.33141,,0.66859
1961,99.33137,,0.66863
1960,99.33133,,0.66867
1959,99.3313,,0.6687
1958,99.33126,,0.66874
1957,99.33122,,0.66878
1956,99.33117,,0.66883
1955,99.33113,,0.66887
1954,99.33108,,0.66892
1953,99.33104,,0.66896
1952,99.33099,,0.66901
1951,99.33094,,0.66906
1950,99.33089,,0.66911
1949,99.33089,,0.66911
1948,99.33088,,0.66912
1947,99.33087,,0.66913
1946,99.33087,,0.66913
1945,99.33086,,0.66914
1944,99.33085,,0.66915
1943,99.33085,,0.66915
1942,99.33084,,0.66916
1941,99.33083,,0.66917
1940,99.33083,,0.66917
1939,99.33083,,0.66917
1938,99.33083,,0.66917
1937,99.33084,,0.66916
1936,99.33084,,0.66916
1935,99.33085,,0.66915
1934,99.33086,,0.66914
1933,99.33087,,0.66913
1932,99.33089,,0.66911
1931,99.33091,,0.66909
1930,99.33093,,0.66907
1929,99.33095,,0.66905
1928,99.33098,,0.66902
1927,99.33101,,0.66899
1926,99.33104,,0.66896
1925,99.33108,,0.66892
1924,99.33112,,0.66888
1923,99.33117,,0.66883
1922,99.33122,,0.66878
1921,99.33128,,0.66872
1920,99.33134,,0.66866
1919,99.33141,,0.66859
1918,99.33148,,0.66852
1917,99.33156,,0.66844
1916,99.33165,,0.66835
1915,99.33174,,0.66826
1914,99.33184,,0.66816
1913,99.33194,,0.66806
1912,99.33205,,0.66795
1911,99.33217,,0.66783
1910,99.33229,,0.66771
1909,99.33242,,0.66758
1908,99.33256,,0.66744
1907,99.3327,,0.6673
1906,99.33285,,0.66715
1905,99.33301,,0.66699
1904,99.33317,,0.66683
1903,99.33334,,0.66666
1902,99.33352,,0.66648
1901,99.3337,,0.6663
1900,99.33389,,0.66611
1899,99.33409,,0.66591
1898,99.33429,,0.66571
1897,99.3345,,0.6655
1896,99.33471,,0.66529
1895,99.33493,,0.66507
1894,99.33516,,0.66484
1893,99.33539,,0.66461
1892,99.33563,,0.66437
1891,99.33587,,0.66413
1890,99.33612,,0.66388
1889,99.33637,,0.66363
1888,99.33663,,0.66337
1887,99.33689,,0.66311
1886,99.33715,,0.66285
1885,99.33743,,0.66257
1884,99.3377,,0.6623
1883,99.33798,,0.66202
1882,99.33826,,0.66174
1881,99.33854,,0.66146
1880,99.33883,,0.66117
1879,99.33912,,0.66088
1878,99.33941,,0.66059
1877,99.3397,,0.6603
1876,99.34,,0.66
1875,99.3403,,0.6597
1874,99.34059,,0.65941
1873,99.34089,,0.65911
1872,99.34119,,0.65881
1871,99.34148,,0.65852
1870,99.34178,,0.65822
1869,99.34208,,0.65792
1868,99.34237,,0.65763
1867,99.34266,,0.65734
1866,99.34295,,0.65705
1865,99.34324,,0.65676
1864,99.34352,,0.65648
1863,99.3438,,0.6562
1862,99.34408,,0.65592
1861,99.34435,,0.65565
1860,99.34462,,0.65538
1859,99.34488,,0.65512
1858,99.34514,,0.65486
1857,99.3454,,0.6546
1856,99.34565,,0.65435
1855,99.34589,,0.65411
1854,99.34613,,0.65387
1853,99.34636,,0.65364
1852,99.34659,,0.65341
1851,99.3468,,0.6532
1850,99.34701,,0.65299
1849,99.34721,,0.65279
1848,99.3474,,0.6526
1847,99.34758,,0.65242
1846,99.34776,,0.65224
1845,99.34792,,0.65208
1844,99.34808,,0.65192
1843,99.34822,,0.65178
1842,99.34835,,0.65165
1841,99.34848,,0.65152
1840,99.34859,,0.65141
1839,99.3487,,0.6513
1838,99.34879,,0.65121
1837,99.34887,,0.65113
1836,99.34894,,0.65106
1835,99.349,,0.651
1834,99.34905,,0.65095
1833,99.34908,,0.65092
1832,99.34911,,0.65089
1831,99.34912,,0.65088
1830,99.34913,,0.65087
1829,99.34912,,0.65088
1828,99.3491,,0.6509
1827,99.34907,,0.65093
1826,99.34903,,0.65097
1825,99.34898,,0.65102
1824,99.34892,,0.65108
1823,99.34884,,0.65116
1822,99.34876,,0.65124
1821,99.34866,,0.65134
1820,99.34856,,0.65144
1819,99.34843,,0.65157
1818,99.34829,,0.65171
1817,99.34814,,0.65186
1816,99.34799,,0.65201
1815,99.34782,,0.65218
1814,99.34764,,0.65236
1813,99.34745,,0.65255
1812,99.34726,,0.65274
1811,99.34705,,0.65295
1810,99.34684,,0.65316
1809,99.34663,,0.65337
1808,99.34641,,0.65359
1807,99.34618,,0.65382
1806,99.34594,,0.65406
1805,99.3457,,0.6543
1804,99.34545,,0.65455
1803,99.3452,,0.6548
1802,99.34494,,0.65506
1801,99.34467,,0.65533
1800,99.3444,,0.6556
1799,99.34412,,0.65588
