Wavelength[nm],T% at AOI 45 deg,,
2131,97.74671,,
2130,97.76093,,
2129,97.73335,,
2128,97.73942,,
2127,97.78505,,
2126,97.79156,,
2125,97.76545,,
2124,97.78601,,
2123,97.82916,,
2122,97.81904,,
2121,97.80059,,
2120,97.83783,,
2119,97.82351,,
2118,97.87337,,
2117,97.84621,,
2116,97.85905,,
2115,97.88737,,
2114,97.85335,,
2113,97.88024,,
2112,97.88394,,
2111,97.85429,,
2110,97.88149,,
2109,97.85155,,
2108,97.84781,,
2107,97.86597,,
2106,97.85213,,
2105,97.81814,,
2104,97.81776,,
2103,97.82886,,
2102,97.80111,,
2101,97.76984,,
2100,97.77749,,
2099,97.77569,,
2098,97.73724,,
2097,97.71925,,
2096,97.73155,,
2095,97.71242,,
2094,97.67561,,
2093,97.67923,,
2092,97.68444,,
2091,97.64993,,
2090,97.63602,,
2089,97.6545,,
2088,97.63621,,
2087,97.61143,,
2086,97.63187,,
2085,97.6321,,
2084,97.60527,,
2083,97.62309,,
2082,97.63876,,
2081,97.61564,,
2080,97.63062,,
2079,97.6572,,
2078,97.63963,,
2077,97.65355,,
2076,97.68686,,
2075,97.67367,,
2074,97.68864,,
2073,97.72501,,
2072,97.71343,,
2071,97.73138,,
2070,97.76699,,
2069,97.75412,,
2068,97.77679,,
2067,97.8068,,
2066,97.79111,,
2065,97.81943,,
2064,97.83772,,
2063,97.8208,,
2062,97.85357,,
2061,97.8541,,
2060,97.84168,,
2059,97.873,,
2058,97.8536,,
2057,97.85345,,
2056,97.87157,,
2055,97.83949,,
2054,97.85443,,
2053,97.84653,,
2052,97.8201,,
2051,97.83882,,
2050,97.80461,,
2049,97.80193,,
2048,97.80058,,
2047,97.76396,,
2046,97.77962,,
2045,97.74711,,
2044,97.74026,,
2043,97.74069,,
2042,97.70628,,
2041,97.72498,,
2040,97.69376,,
2039,97.6988,,
2038,97.69708,,
2037,97.67775,,
2036,97.70223,,
2035,97.67569,,
2034,97.70338,,
2033,97.69395,,
2032,97.70602,,
2031,97.72462,,
2030,97.71944,,
2029,97.75927,,
2028,97.74883,,
2027,97.79507,,
2026,97.79221,,
2025,97.83275,,
2024,97.84516,,
2023,97.8736,,
2022,97.90245,,
2021,97.91798,,
2020,97.9595,,
2019,97.96434,,
2018,98.01318,,
2017,98.01042,,
2016,98.05991,,
2015,98.05314,,
2014,98.09768,,
2013,98.08887,,
2012,98.12486,,
2011,98.11435,,
2010,98.1401,,
2009,98.12678,,
2008,98.14294,,
2007,98.1245,,
2006,98.13225,,
2005,98.10722,,
2004,98.108,,
2003,98.07532,,
2002,98.07093,,
2001,98.03005,,
2000,98.0224,,
1999,97.97379,,
1998,97.96403,,
1997,97.90925,,
1996,97.89873,,
1995,97.83953,,
1994,97.82911,,
1993,97.76852,,
1992,97.7578,,
1991,97.70023,,
1990,97.6874,,
1989,97.6387,,
1988,97.61988,,
1987,97.587,,
1986,97.55914,,
1985,97.54576,,
1984,97.50977,,
1983,97.5137,,
1982,97.47668,,
1981,97.48865,,
1980,97.46303,,
1979,97.47005,,
1978,97.46745,,
1977,97.46133,,
1976,97.48303,,
1975,97.46891,,
1974,97.5007,,
1973,97.49641,,
1972,97.51688,,
1971,97.53751,,
1970,97.53817,,
1969,97.57671,,
1968,97.57419,,
1967,97.60305,,
1966,97.62141,,
1965,97.6237,,
1964,97.65951,,
1963,97.65432,,
1962,97.67446,,
1961,97.6906,,
1960,97.68063,,
1959,97.70617,,
1958,97.69753,,
1957,97.6948,,
1956,97.70946,,
1955,97.68585,,
1954,97.6898,,
1953,97.68724,,
1952,97.65938,,
1951,97.66493,,
1950,97.64814,,
1949,97.62157,,
1948,97.62518,,
1947,97.60144,,
1946,97.57795,,
1945,97.58167,,
1944,97.5582,,
1943,97.53887,,
1942,97.54604,,
1941,97.52848,,
1940,97.514,,
1939,97.52778,,
1938,97.52038,,
1937,97.51202,,
1936,97.53357,,
1935,97.53967,,
1934,97.53757,,
1933,97.56547,,
1932,97.58752,,
1931,97.59237,,
1930,97.62191,,
1929,97.65916,,
1928,97.67412,,
1927,97.69823,,
1926,97.74348,,
1925,97.77322,,
1924,97.7907,,
1923,97.82854,,
1922,97.87063,,
1921,97.89005,,
1920,97.90891,,
1919,97.94591,,
1918,97.97484,,
1917,97.98199,,
1916,97.99343,,
1915,98.01815,,
1914,98.03018,,
1913,98.02189,,
1912,98.01743,,
1911,98.02415,,
1910,98.01979,,
1909,97.99561,,
1908,97.97152,,
1907,97.95909,,
1906,97.94256,,
1905,97.90824,,
1904,97.86781,,
1903,97.83807,,
1902,97.81464,,
1901,97.78133,,
1900,97.73662,,
1899,97.69553,,
1898,97.66727,,
1897,97.64362,,
1896,97.61257,,
1895,97.57558,,
1894,97.54502,,
1893,97.52798,,
1892,97.51851,,
1891,97.50651,,
1890,97.4903,,
1889,97.47787,,
1888,97.47726,,
1887,97.48792,,
1886,97.50227,,
1885,97.51397,,
1884,97.52377,,
1883,97.53778,,
1882,97.56097,,
1881,97.59262,,
1880,97.62722,,
1879,97.65921,,
1878,97.68692,,
1877,97.71291,,
1876,97.74116,,
1875,97.77357,,
1874,97.80869,,
1873,97.84266,,
1872,97.87166,,
1871,97.89389,,
1870,97.90995,,
1869,97.92219,,
1868,97.93233,,
1867,97.94125,,
1866,97.94859,,
1865,97.95305,,
1864,97.95316,,
1863,97.94785,,
1862,97.93681,,
1861,97.92059,,
1860,97.9003,,
1859,97.87717,,
1858,97.85278,,
1857,97.82829,,
1856,97.80452,,
1855,97.78187,,
1854,97.76055,,
1853,97.74065,,
1852,97.72231,,
1851,97.7057,,
1850,97.69112,,
1849,97.6789,,
1848,97.66962,,
1847,97.66364,,
1846,97.66127,,
1845,97.6627,,
1844,97.66805,,
1843,97.67725,,
1842,97.69016,,
1841,97.7065,,
1840,97.72591,,
1839,97.74791,,
1838,97.77196,,
1837,97.79744,,
1836,97.8237,,
1835,97.85006,,
1834,97.8758,,
1833,97.90021,,
1832,97.92259,,
1831,97.94231,,
1830,97.95873,,
1829,97.97134,,
1828,97.97966,,
1827,97.98331,,
1826,97.98203,,
1825,97.97563,,
1824,97.96408,,
1823,97.94742,,
1822,97.9258,,
1821,97.89952,,
1820,97.86895,,
1819,97.83452,,
1818,97.79686,,
1817,97.75674,,
1816,97.71507,,
1815,97.67288,,
1814,97.63134,,
1813,97.5916,,
1812,97.55476,,
1811,97.52176,,
1810,97.49332,,
1809,97.46975,,
1808,97.45131,,
1807,97.43803,,
1806,97.42995,,
1805,97.42716,,
1804,97.43001,,
1803,97.43902,,
1802,97.45473,,
1801,97.47746,,
1800,97.50691,,
1799,97.54223,,
1798,97.5817,,
1797,97.6236,,
1796,97.66668,,
1795,97.71063,,
1794,97.75571,,
1793,97.80193,,
1792,97.84824,,
1791,97.89245,,
1790,97.93204,,
1789,97.9655,,
1788,97.99291,,
1787,98.01522,,
1786,98.03263,,
1785,98.04375,,
1784,98.04646,,
1783,98.03982,,
1782,98.02504,,
1781,98.0042,,
1780,97.97809,,
1779,97.94566,,
1778,97.90615,,
1777,97.86091,,
1776,97.81281,,
1775,97.76357,,
1774,97.71286,,
1773,97.66048,,
1772,97.6083,,
1771,97.55906,,
1770,97.51373,,
1769,97.47179,,
1768,97.43375,,
1767,97.4016,,
1766,97.37643,,
1765,97.3577,,
1764,97.34518,,
1763,97.33973,,
1762,97.34153,,
1761,97.34981,,
1760,97.36414,,
1759,97.38422,,
1758,97.40907,,
1757,97.43797,,
1756,97.4705,,
1755,97.50493,,
1754,97.53983,,
1753,97.57552,,
1752,97.61063,,
1751,97.64236,,
1750,97.6713,,
1749,97.6979,,
1748,97.71841,,
1747,97.73301,,
1746,97.74438,,
1745,97.74864,,
1744,97.74546,,
1743,97.73971,,
1742,97.72739,,
1741,97.70825,,
1740,97.68902,,
1739,97.66482,,
1738,97.63665,,
1737,97.61223,,
1736,97.58461,,
1735,97.5581,,
1734,97.53884,,
1733,97.51785,,
1732,97.50481,,
1731,97.49943,,
1730,97.49485,,
1729,97.50433,,
1728,97.51722,,
1727,97.5372,,
1726,97.57043,,
1725,97.60288,,
1724,97.64995,,
1723,97.69891,,
1722,97.75239,,
1721,97.81567,,
1720,97.87257,,
1719,97.94128,,
1718,98.00073,,
1717,98.06435,,
1716,98.12315,,
1715,98.17384,,
1714,98.22558,,
1713,98.25885,,
1712,98.29588,,
1711,98.3095,,
1710,98.32553,,
1709,98.3185,,
1708,98.31065,,
1707,98.2829,,
1706,98.25175,,
1705,98.20515,,
1704,98.15439,,
1703,98.09281,,
1702,98.02861,,
1701,97.9577,,
1700,97.88795,,
1699,97.81438,,
1698,97.74779,,
1697,97.67847,,
1696,97.62344,,
1695,97.56474,,
1694,97.52816,,
1693,97.4855,,
1692,97.47138,,
1691,97.4492,,
1690,97.45752,,
1689,97.45942,,
1688,97.48575,,
1687,97.51374,,
1686,97.55106,,
1685,97.603,,
1684,97.64565,,
1683,97.71185,,
1682,97.75922,,
1681,97.82264,,
1680,97.87681,,
1679,97.922,,
1678,97.9771,,
1677,98.00327,,
1676,98.03961,,
1675,98.05814,,
1674,98.05939,,
1673,98.06918,,
1672,98.04712,,
1671,98.02688,,
1670,98.0034,,
1669,97.95277,,
1668,97.91667,,
1667,97.87024,,
1666,97.80904,,
1665,97.76993,,
1664,97.72115,,
1663,97.66844,,
1662,97.64371,,
1661,97.61467,,
1660,97.5867,,
1659,97.59089,,
1658,97.59908,,
1657,97.60556,,
1656,97.64281,,
1655,97.69498,,
1654,97.73888,,
1653,97.80035,,
1652,97.8856,,
1651,97.96271,,
1650,98.03309,,
1649,98.12133,,
1648,98.21335,,
1647,98.28269,,
1646,98.34129,,
1645,98.4072,,
1644,98.46292,,
1643,98.48698,,
1642,98.49099,,
1641,98.49352,,
1640,98.48508,,
1639,98.44582,,
1638,98.3795,,
1637,98.30684,,
1636,98.23435,,
1635,98.14914,,
1634,98.04262,,
1633,97.92563,,
1632,97.81612,,
1631,97.71996,,
1630,97.62932,,
1629,97.53719,,
1628,97.44805,,
1627,97.37343,,
1626,97.32253,,
1625,97.29601,,
1624,97.28765,,
1623,97.29082,,
1622,97.3033,,
1621,97.32755,,
1620,97.36736,,
1619,97.42409,,
1618,97.49498,,
1617,97.57401,,
1616,97.65404,,
1615,97.72885,,
1614,97.79427,,
1613,97.84811,,
1612,97.88954,,
1611,97.91821,,
1610,97.93378,,
1609,97.93576,,
1608,97.92371,,
1607,97.89751,,
1606,97.85765,,
1605,97.8055,,
1604,97.74323,,
1603,97.67381,,
1602,97.60085,,
1601,97.52828,,
1600,97.46026,,
1599,97.40076,,
1598,97.35358,,
1597,97.32198,,
1596,97.30862,,
1595,97.31538,,
1594,97.34334,,
1593,97.39262,,
1592,97.46237,,
1591,97.55084,,
1590,97.65527,,
1589,97.77215,,
1588,97.89688,,
1587,98.02447,,
1586,98.14964,,
1585,98.26704,,
1584,98.3717,,
1583,98.45928,,
1582,98.52641,,
1581,98.57074,,
1580,98.59095,,
1579,98.58642,,
1578,98.5568,,
1577,98.50173,,
1576,98.42091,,
1575,98.31484,,
1574,98.18616,,
1573,98.04095,,
1572,97.88911,,
1571,97.74277,,
1570,97.61278,,
1569,97.50463,,
1568,97.41706,,
1567,97.34495,,
1566,97.28626,,
1565,97.2477,,
1564,97.24271,,
1563,97.28058,,
1562,97.35531,,
1561,97.4468,,
1560,97.5379,,
1559,97.63074,,
1558,97.74367,,
1557,97.8787,,
1556,98.00617,,
1555,98.0955,,
1554,98.15514,,
1553,98.21551,,
1552,98.27135,,
1551,98.2803,,
1550,98.23462,,
1549,98.18071,,
1548,98.13531,,
1547,98.05328,,
1546,97.9268,,
1545,97.8186,,
1544,97.73959,,
1543,97.63281,,
1542,97.51947,,
1541,97.46745,,
1540,97.43411,,
1539,97.37679,,
1538,97.37522,,
1537,97.41885,,
1536,97.42529,,
1535,97.46842,,
1534,97.55251,,
1533,97.57669,,
1532,97.62337,,
1531,97.68543,,
1530,97.66601,,
1529,97.67581,,
1528,97.66512,,
1527,97.58311,,
1526,97.55351,,
1525,97.47031,,
1524,97.38052,,
1523,97.34677,,
1522,97.25616,,
1521,97.25227,,
1520,97.24419,,
1519,97.2624,,
1518,97.35738,,
1517,97.41561,,
1516,97.57706,,
1515,97.67196,,
1514,97.83166,,
1513,97.91753,,
1512,97.99525,,
1511,98.00062,,
1510,97.93372,,
1509,97.81023,,
1508,97.60045,,
1507,97.37709,,
1506,97.11921,,
1505,96.92189,,
1504,96.78678,,
1503,96.78467,,
1502,96.93423,,
1501,97.20993,,
1500,97.60175,,
1499,97.84664,,
1498,97.74655,,
1497,96.60093,,
1496,93.92568,,
1495,89.07923,,
1494,82.32496,,
1493,74.52906,,
1492,66.89508,,
1491,60.29459,,
1490,55.00299,,
1489,50.95859,,
1488,47.94063,,
1487,45.73654,,
1486,44.17613,,
1485,43.14347,,
1484,42.56215,,
1483,42.38099,,
1482,42.56757,,
1481,43.08751,,
1480,43.89353,,
1479,44.91076,,
1478,45.99963,,
1477,46.93642,,
1476,47.40035,,
1475,46.99296,,
1474,45.34119,,
1473,42.27066,,
1472,37.94184,,
1471,32.83284,,
1470,27.5515,,
1469,22.60829,,
1468,18.29936,,
1467,14.71978,,
1466,11.83494,,
1465,9.5498,,
1464,7.75433,,
1463,6.34646,,
1462,5.24044,,
1461,4.36783,,
1460,3.67541,,
1459,3.12198,,
1458,2.67708,,
1457,2.31705,,
1456,2.02383,,
1455,1.78362,,
1454,1.58581,,
1453,1.4222,,
1452,1.28644,,
1451,1.17357,,
1450,1.07973,,
1449,1.00189,,
1448,0.93775,,
1447,0.88557,,
1446,0.84407,,
1445,0.81242,,
1444,0.79031,,
1443,0.77795,,
1442,0.77635,,
1441,0.78768,,
1440,0.81588,,
1439,0.86711,,
1438,0.94658,,
1437,1.04084,,
1436,1.08942,,
1435,1.05252,,
1434,0.9957,,
1433,0.97445,,
1432,0.99455,,
1431,1.04999,,
1430,1.13798,,
1429,1.26008,,
1428,1.42112,,
1427,1.62812,,
1426,1.88818,,
1425,2.20372,,
1424,2.56269,,
1423,2.92314,,
1422,3.20231,,
1421,3.29801,,
1420,3.15494,,
1419,2.81595,,
1418,2.38818,,
1417,1.96747,,
1416,1.60355,,
1415,1.30887,,
1414,1.07746,,
1413,0.89775,,
1412,0.75828,,
1411,0.64951,,
1410,0.56407,,
1409,0.49638,,
1408,0.44243,,
1407,0.39915,,
1406,0.36431,,
1405,0.3362,,
1404,0.31356,,
1403,0.29544,,
1402,0.28112,,
1401,0.27008,,
1400,0.2619,,
1399,0.25631,,
1398,0.25312,,
1397,0.25224,,
1396,0.25362,,
1395,0.2573,,
1394,0.26341,,
1393,0.27214,,
1392,0.28378,,
1391,0.29873,,
1390,0.31751,,
1389,0.34088,,
1388,0.36972,,
1387,0.40524,,
1386,0.449,,
1385,0.50301,,
1384,0.56987,,
1383,0.65286,,
1382,0.75602,,
1381,0.88409,,
1380,1.04203,,
1379,1.23385,,
1378,1.45969,,
1377,1.71172,,
1376,1.96928,,
1375,2.19823,,
1374,2.36111,,
1373,2.43782,,
1372,2.44004,,
1371,2.39302,,
1370,2.28256,,
1369,2.07676,,
1368,1.82948,,
1367,1.60839,,
1366,1.43164,,
1365,1.29445,,
1364,1.18882,,
1363,1.10816,,
1362,1.04761,,
1361,1.0037,,
1360,0.97401,,
1359,0.95686,,
1358,0.95122,,
1357,0.95656,,
1356,0.97275,,
1355,1.00014,,
1354,1.03946,,
1353,1.09193,,
1352,1.15929,,
1351,1.2439,,
1350,1.34894,,
1349,1.47867,,
1348,1.6385,,
1347,1.8356,,
1346,2.07945,,
1345,2.38255,,
1344,2.76154,,
1343,3.23868,,
1342,3.84386,,
1341,4.61728,,
1340,5.61304,,
1339,6.90428,,
1338,8.58535,,
1337,10.77652,,
1336,13.62078,,
1335,17.26735,,
1334,21.82935,,
1333,27.30802,,
1332,33.5018,,
1331,39.97019,,
1330,46.15094,,
1329,51.58464,,
1328,56.35351,,
1327,60.91063,,
1326,65.91602,,
1325,71.82576,,
1324,78.45735,,
1323,84.88281,,
1322,89.9924,,
1321,93.2935,,
1320,95.07058,,
1319,95.93669,,
1318,96.40176,,
1317,96.75685,,
1316,97.10249,,
1315,97.42918,,
1314,97.68421,,
1313,97.81567,,
1312,97.79665,,
1311,97.63317,,
1310,97.36034,,
1309,97.03275,,
1308,96.70662,,
1307,96.43329,,
1306,96.24942,,
1305,96.17341,,
1304,96.20599,,
1303,96.33438,,
1302,96.53809,,
1301,96.7936,,
1300,97.07466,,
1299,97.34731,,
1298,97.56537,,
1297,97.67799,,
1296,97.6562,,
1295,97.52338,,
1294,97.35248,,
1293,97.2104,,
1292,97.0947,,
1291,96.94991,,
1290,96.77609,,
1289,96.68163,,
1288,96.75613,,
1287,96.88128,,
1286,96.94394,,
1285,97.07828,,
1284,97.35145,,
1283,97.53266,,
1282,97.60122,,
1281,97.77926,,
1280,97.88248,,
1279,97.79106,,
1278,97.80991,,
1277,97.75537,,
1276,97.54841,,
1275,97.52324,,
1274,97.36618,,
1273,97.24019,,
1272,97.26369,,
1271,97.12866,,
1270,97.24518,,
1269,97.21839,,
1268,97.34047,,
1267,97.41487,,
1266,97.49918,,
1265,97.60082,,
1264,97.62286,,
1263,97.67781,,
1262,97.6388,,
1261,97.60585,,
1260,97.54492,,
1259,97.41696,,
1258,97.4015,,
1257,97.21279,,
1256,97.25829,,
1255,97.12643,,
1254,97.14902,,
1253,97.20941,,
1252,97.15891,,
1251,97.32863,,
1250,97.38109,,
1249,97.39992,,
1248,97.57846,,
1247,97.59737,,
1246,97.5519,,
1245,97.63715,,
1244,97.62027,,
1243,97.46574,,
1242,97.40343,,
1241,97.4048,,
1240,97.30351,,
1239,97.16051,,
1238,97.11211,,
1237,97.16637,,
1236,97.23242,,
1235,97.257,,
1234,97.26984,,
1233,97.32401,,
1232,97.43465,,
1231,97.57246,,
1230,97.69302,,
1229,97.76499,,
1228,97.77936,,
1227,97.7441,,
1226,97.67454,,
1225,97.58662,,
1224,97.49431,,
1223,97.40932,,
1222,97.34145,,
1221,97.29852,,
1220,97.28607,,
1219,97.30778,,
1218,97.36272,,
1217,97.44749,,
1216,97.55508,,
1215,97.67476,,
1214,97.79136,,
1213,97.88474,,
1212,97.93078,,
1211,97.90672,,
1210,97.80251,,
1209,97.6279,,
1208,97.4444,,
