Wavelength[nm],T% at AOI 45 deg,r%
2180,98.66725,1.33275
2179,98.64174,1.35826
2178,98.65269,1.34731
2177,98.66904,1.33096
2176,98.64542,1.35458
2175,98.64323,1.35677
2174,98.66627,1.33373
2173,98.65078,1.34922
2172,98.63641,1.36359
2171,98.65955,1.34045
2170,98.65569,1.34431
2169,98.63316,1.36684
2168,98.65041,1.34959
2167,98.65839,1.34161
2166,98.63326,1.36674
2165,98.64066,1.35934
2164,98.65791,1.34209
2163,98.63577,1.36423
2162,98.63198,1.36802
2161,98.65414,1.34586
2160,98.63929,1.36071
2159,98.62547,1.37453
2158,98.64774,1.35226
2157,98.64232,1.35768
2156,98.62156,1.37844
2155,98.63975,1.36025
2154,98.64404,1.35596
2153,98.62006,1.37994
2152,98.63127,1.36873
2151,98.64391,1.35609
2150,98.62048,1.37952
2149,98.62327,1.37673
2148,98.64179,1.35821
2147,98.62213,1.37787
2146,98.61648,1.38352
2145,98.63792,1.36208
2144,98.62428,1.37572
2143,98.61131,1.38869
2142,98.63274,1.36726
2141,98.62631,1.37369
2140,98.60793,1.39207
2139,98.62684,1.37316
2138,98.62778,1.37222
2137,98.6062,1.3938
2136,98.62078,1.37922
2135,98.62846,1.37154
2134,98.60591,1.39409
2133,98.61506,1.38494
2132,98.62827,1.37173
2131,98.60672,1.39328
2130,98.61007,1.38993
2129,98.62732,1.37268
2128,98.60831,1.39169
2127,98.60603,1.39397
2126,98.6258,1.3742
2125,98.6104,1.3896
2124,98.60307,1.39693
2123,98.62393,1.37607
2122,98.61273,1.38727
2121,98.60122,1.39878
2120,98.62195,1.37805
2119,98.61053,1.38947
2118,98.60255,1.39745
2117,98.62096,1.37904
2116,98.60086,1.39914
2115,98.60767,1.39233
2114,98.6148,1.3852
2113,98.5963,1.4037
2112,98.61221,1.38779
2111,98.60587,1.39413
2110,98.59753,1.40247
2109,98.61339,1.38661
2108,98.60574,1.39426
2107,98.59799,1.40201
2106,98.61389,1.38611
2105,98.61005,1.38995
2104,98.59945,1.40055
2103,98.61441,1.38559
2102,98.61437,1.38563
2101,98.60178,1.39822
2100,98.61507,1.38493
2099,98.61864,1.38136
2098,98.6049,1.3951
2097,98.61594,1.38406
2096,98.62283,1.37717
2095,98.60863,1.39137
2094,98.61711,1.38289
2093,98.62679,1.37321
2092,98.6128,1.3872
2091,98.61863,1.38137
2090,98.63054,1.36946
2089,98.6172,1.3828
2088,98.62054,1.37946
2087,98.63402,1.36598
2086,98.62163,1.37837
2085,98.62274,1.37726
2084,98.63732,1.36268
2083,98.62601,1.37399
2082,98.62518,1.37482
2081,98.64046,1.35954
2080,98.63026,1.36974
2079,98.62773,1.37227
2078,98.64342,1.35658
2077,98.63427,1.36573
2076,98.63033,1.36967
2075,98.6462,1.3538
2074,98.63795,1.36205
2073,98.63287,1.36713
2072,98.64877,1.35123
2071,98.64123,1.35877
2070,98.63527,1.36473
2069,98.65108,1.34892
2068,98.64405,1.35595
2067,98.63747,1.36253
2066,98.65311,1.34689
2065,98.64636,1.35364
2064,98.63938,1.36062
2063,98.65484,1.34516
2062,98.6481,1.3519
2061,98.64095,1.35905
2060,98.6562,1.3438
2059,98.64923,1.35077
2058,98.64211,1.35789
2057,98.65716,1.34284
2056,98.64972,1.35028
2055,98.64285,1.35715
2054,98.65766,1.34234
2053,98.64952,1.35048
2052,98.64315,1.35685
2051,98.65768,1.34232
2050,98.64863,1.35137
2049,98.64301,1.35699
2048,98.65717,1.34283
2047,98.64704,1.35296
2046,98.64246,1.35754
2045,98.65607,1.34393
2044,98.64476,1.35524
2043,98.6415,1.3585
2042,98.65438,1.34562
2041,98.64182,1.35818
2040,98.64018,1.35982
2039,98.65202,1.34798
2038,98.63829,1.36171
2037,98.63855,1.36145
2036,98.64899,1.35101
2035,98.63423,1.36577
2034,98.63663,1.36337
2033,98.64523,1.35477
2032,98.62977,1.37023
2031,98.63446,1.36554
2030,98.64075,1.35925
2029,98.62502,1.37498
2028,98.63211,1.36789
2027,98.63545,1.36455
2026,98.62019,1.37981
2025,98.62952,1.37048
2024,98.62945,1.37055
2023,98.61547,1.38453
2022,98.62659,1.37341
2021,98.62283,1.37717
2020,98.61107,1.38893
2019,98.62323,1.37677
2018,98.61584,1.38416
2017,98.60708,1.39292
2016,98.61936,1.38064
2015,98.60865,1.39135
2014,98.60365,1.39635
2013,98.61491,1.38509
