#Wavelength (nm),"M1, M2, or M3, 
#1 year"
2253,0.966375866
2252,0.966351871
2251,0.966470375
2250,0.966426951
2249,0.966212292
2248,0.966404235
2247,0.966756013
2246,0.965953592
2245,0.96653422
2244,0.966868248
2243,0.966486963
2242,0.966808974
2241,0.966828613
2240,0.96678079
2239,0.966915779
2238,0.966916555
2237,0.96695343
2236,0.966513379
2235,0.96635568
2234,0.966093553
2233,0.966581421
2232,0.96662686
2231,0.966512337
2230,0.966921387
2229,0.966540839
2228,0.965956128
2227,0.966304061
2226,0.966420517
2225,0.966455847
2224,0.965771707
2223,0.966257127
2222,0.96637249
2221,0.966295033
2220,0.965848084
2219,0.966051451
2218,0.966488215
2217,0.966325556
2216,0.966409391
2215,0.965757408
2214,0.966051242
2213,0.966174901
2212,0.96603775
2211,0.966401113
2210,0.965918948
2209,0.965387834
2208,0.965925153
2207,0.965300833
2206,0.966723588
2205,0.966110274
2204,0.96542553
2203,0.966055069
2202,0.966019859
2201,0.966035862
2200,0.965877501
2199,0.966232065
2198,0.96590449
2197,0.966096052
2196,0.965626456
2195,0.96573541
2194,0.96613203
2193,0.965613378
2192,0.965742486
2191,0.965921904
2190,0.965209471
2189,0.965948003
2188,0.965874157
2187,0.965582282
2186,0.965477632
2185,0.965658811
2184,0.965952581
2183,0.965792363
2182,0.965392386
2181,0.965811755
2180,0.965762552
2179,0.965716178
2178,0.965729987
2177,0.965210355
2176,0.966009534
2175,0.966187038
2174,0.965508035
2173,0.96525987
2172,0.965973085
2171,0.965097281
2170,0.965657164
2169,0.966083069
2168,0.965787938
2167,0.966064618
2166,0.965283381
2165,0.965498568
2164,0.965511837
2163,0.965226491
2162,0.965699221
2161,0.96551033
2160,0.9658708
2159,0.965076097
2158,0.96496102
2157,0.965930061
2156,0.965742938
2155,0.965561752
2154,0.96494168
2153,0.965391318
2152,0.965255191
2151,0.965036888
2150,0.965587495
2149,0.965371888
