#Wavelength (nm),"M1, M2, or M3
#2 years"
2048,0.949364859
2047,0.948925654
2046,0.949083767
2045,0.949206327
2044,0.949204063
2043,0.949312267
2042,0.948965143
2041,0.949222056
2040,0.948912182
2039,0.948835303
2038,0.948941816
2037,0.949287395
2036,0.948838495
2035,0.949319324
2034,0.949435635
2033,0.948804817
2032,0.949328403
2031,0.948967139
2030,0.949687862
2029,0.948885409
2028,0.948990936
2027,0.94918836
2026,0.948720207
2025,0.94851518
2024,0.949139881
2023,0.948727976
2022,0.948766308
2021,0.9491447
2020,0.949099433
2019,0.948781764
2018,0.94906929
2017,0.948489736
2016,0.948882682
2015,0.949050001
2014,0.948908316
2013,0.948692074
2012,0.948706207
2011,0.948971577
2010,0.948638592
2009,0.949113814
2008,0.948510259
2007,0.949106503
2006,0.948227793
2005,0.949128819
2004,0.948976237
2003,0.948561052
2002,0.948707625
2001,0.949013271
2000,0.94877285
1999,0.948722757
1998,0.948278732
1997,0.948139203
1996,0.948531679
1995,0.948675626
1994,0.948916499
1993,0.949048258
1992,0.948718599
1991,0.948550212
1990,0.948906364
1989,0.948773518
1988,0.948860111
1987,0.948437513
1986,0.948556709
1985,0.948522676
1984,0.947933178
1983,0.948129679
1982,0.948277346
1981,0.948225746
1980,0.948046379
1979,0.948056501
1978,0.948389104
1977,0.948574772
1976,0.948032366
1975,0.947890244
1974,0.948117097
1973,0.948698006
1972,0.948026142
1971,0.947988822
1970,0.948173726
1969,0.947598845
1968,0.948126704
1967,0.947757804
1966,0.948050283
1965,0.947885679
1964,0.94815822
1963,0.948145294
1962,0.948329035
1961,0.948100662
1960,0.948107707
1959,0.947986457
1958,0.947862078
1957,0.9478637
1956,0.947682088
1955,0.948449688
1954,0.947459704
1953,0.947712129
1952,0.947906151
1951,0.947984244
1950,0.947758172
1949,0.947979724
1948,0.947796923
1947,0.947976685
1946,0.94738397
1945,0.947312501
1944,0.947681039
1943,0.94867075
1942,0.94761666
1941,0.947827733
1940,0.948196672
1939,0.947885939
1938,0.947747415
1937,0.947724826
1936,0.947952232
1935,0.948506743
1934,0.947947235
1933,0.947524427
1932,0.947671674
1931,0.947688376
1930,0.947650852
1929,0.948036982
1928,0.947595418
1927,0.947368533
1926,0.947658742
1925,0.94813619
1924,0.947489446
1923,0.947799282
1922,0.947896805
1921,0.948212159
1920,0.947543977
1919,0.947984873
1918,0.948080985
1917,0.947681274
1916,0.947311452
1915,0.947574851
1914,0.947557812
1913,0.94801733
1912,0.94771862
1911,0.947857723
1910,0.947846553
1909,0.947966601
1908,0.947231414
1907,0.946847998
1906,0.947481143
1905,0.947899259
1904,0.947441845
1903,0.947205429
1902,0.947848714
1901,0.947326082
1900,0.947408549
1899,0.947910798
1898,0.947857253
1897,0.947052294
1896,0.946855195
1895,0.946981214
1894,0.947118193
1893,0.946595427
1892,0.947044748
1891,0.947592436
1890,0.947247378
1889,0.94766688
1888,0.947556661
