# wavelength_um,throughput,length
1.612999999999986445e+00,9.791401487248068136e-01,1.000000000000000000e+01
1.613999999999986334e+00,9.791660606435381720e-01,1.000000000000000000e+01
1.614999999999986224e+00,9.791919687913933634e-01,1.000000000000000000e+01
1.615999999999986114e+00,9.792178731695693195e-01,1.000000000000000000e+01
1.616999999999986004e+00,9.792437737792626384e-01,1.000000000000000000e+01
1.617999999999985894e+00,9.792696706216693636e-01,1.000000000000000000e+01
1.618999999999985784e+00,9.792955636979846501e-01,1.000000000000000000e+01
1.619999999999985674e+00,9.793214530094033199e-01,1.000000000000000000e+01
1.620999999999985564e+00,9.793473385571195289e-01,1.000000000000000000e+01
1.621999999999985453e+00,9.793732203423268778e-01,1.000000000000000000e+01
1.622999999999985343e+00,9.793990983662184124e-01,1.000000000000000000e+01
1.623999999999985233e+00,9.794249726299865122e-01,1.000000000000000000e+01
1.624999999999985123e+00,9.794508431348230015e-01,1.000000000000000000e+01
1.625999999999985013e+00,9.794767098819191498e-01,1.000000000000000000e+01
1.626999999999984903e+00,9.795025728724656711e-01,1.000000000000000000e+01
1.627999999999984793e+00,9.795284321076526135e-01,1.000000000000000000e+01
1.628999999999984682e+00,9.795542875886694700e-01,1.000000000000000000e+01
1.629999999999984572e+00,9.795801393167051785e-01,1.000000000000000000e+01
1.630999999999984462e+00,9.796059872929481216e-01,1.000000000000000000e+01
1.631999999999984352e+00,9.796318315185860159e-01,1.000000000000000000e+01
1.632999999999984242e+00,9.796576719948061340e-01,1.000000000000000000e+01
1.633999999999984132e+00,9.796835087227950822e-01,1.000000000000000000e+01
1.634999999999984022e+00,9.797093417037388008e-01,1.000000000000000000e+01
1.635999999999983912e+00,9.797351709388227858e-01,1.000000000000000000e+01
1.636999999999983801e+00,9.797609964292318674e-01,1.000000000000000000e+01
1.637999999999983691e+00,9.797868181761505424e-01,1.000000000000000000e+01
1.638999999999983581e+00,9.798126361807621976e-01,1.000000000000000000e+01
1.639999999999983471e+00,9.798384504442503307e-01,1.000000000000000000e+01
1.640999999999983361e+00,9.798642609677972182e-01,1.000000000000000000e+01
1.641999999999983251e+00,9.798900677525850256e-01,1.000000000000000000e+01
1.642999999999983141e+00,9.799158707997951412e-01,1.000000000000000000e+01
1.643999999999983030e+00,9.799416701106082872e-01,1.000000000000000000e+01
1.644999999999982920e+00,9.799674656862048527e-01,1.000000000000000000e+01
1.645999999999982810e+00,9.799932575277645608e-01,1.000000000000000000e+01
1.646999999999982700e+00,9.800190456364663572e-01,1.000000000000000000e+01
1.647999999999982590e+00,9.800448300134889656e-01,1.000000000000000000e+01
1.648999999999982480e+00,9.800706106600102219e-01,1.000000000000000000e+01
1.649999999999982370e+00,9.800963875772076284e-01,1.000000000000000000e+01
1.650999999999982260e+00,9.801221607662579105e-01,1.000000000000000000e+01
1.651999999999982149e+00,9.801479302283373496e-01,1.000000000000000000e+01
1.652999999999982039e+00,9.801736959646215608e-01,1.000000000000000000e+01
1.653999999999981929e+00,9.801994579762858262e-01,1.000000000000000000e+01
1.654999999999981819e+00,9.802252162645045397e-01,1.000000000000000000e+01
1.655999999999981709e+00,9.802509708304517622e-01,1.000000000000000000e+01
1.656999999999981599e+00,9.802767216753006663e-01,1.000000000000000000e+01
1.657999999999981489e+00,9.803024688002244247e-01,1.000000000000000000e+01
1.658999999999981378e+00,9.803282122063949888e-01,1.000000000000000000e+01
1.659999999999981268e+00,9.803539518949840881e-01,1.000000000000000000e+01
1.660999999999981158e+00,9.803796878671630077e-01,1.000000000000000000e+01
1.661999999999981048e+00,9.804054201241021449e-01,1.000000000000000000e+01
1.662999999999980938e+00,9.804311486669715636e-01,1.000000000000000000e+01
1.663999999999980828e+00,9.804568734969405508e-01,1.000000000000000000e+01
1.664999999999980718e+00,9.804825946151780602e-01,1.000000000000000000e+01
1.665999999999980608e+00,9.805083120228523796e-01,1.000000000000000000e+01
1.666999999999980497e+00,9.805340257211311306e-01,1.000000000000000000e+01
1.667999999999980387e+00,9.805597357111814905e-01,1.000000000000000000e+01
1.668999999999980277e+00,9.805854419941700817e-01,1.000000000000000000e+01
1.669999999999980167e+00,9.806111445712627495e-01,1.000000000000000000e+01
1.670999999999980057e+00,9.806368434436252279e-01,1.000000000000000000e+01
1.671999999999979947e+00,9.806625386124221411e-01,1.000000000000000000e+01
1.672999999999979837e+00,9.806882300788178908e-01,1.000000000000000000e+01
1.673999999999979726e+00,9.807139178439762128e-01,1.000000000000000000e+01
