# wavelength_um,throughput,length
9.649999999999999689e-01,9.761210222510600110e-01,7.600000000000000000e+01
9.659999999999999698e-01,9.761385694001563085e-01,7.600000000000000000e+01
9.669999999999999707e-01,9.761572561155074101e-01,7.600000000000000000e+01
9.679999999999999716e-01,9.761788173263423740e-01,7.600000000000000000e+01
9.689999999999999725e-01,9.762049844912306096e-01,7.600000000000000000e+01
9.699999999999999734e-01,9.762374891031259105e-01,7.600000000000000000e+01
9.709999999999999742e-01,9.762784996440320162e-01,7.600000000000000000e+01
9.719999999999999751e-01,9.763283040694398229e-01,7.600000000000000000e+01
9.729999999999999760e-01,9.763858177788183879e-01,7.600000000000000000e+01
9.739999999999999769e-01,9.764499561637094427e-01,7.600000000000000000e+01
9.749999999999999778e-01,9.765196334309856896e-01,7.600000000000000000e+01
9.759999999999999787e-01,9.765937637582372544e-01,7.600000000000000000e+01
9.769999999999999796e-01,9.766712636162192540e-01,7.600000000000000000e+01
9.779999999999999805e-01,9.767510459364197040e-01,7.600000000000000000e+01
9.789999999999999813e-01,9.768320270979379272e-01,7.600000000000000000e+01
9.799999999999999822e-01,9.769131210984799418e-01,7.600000000000000000e+01
9.809999999999999831e-01,9.770009841311673160e-01,7.600000000000000000e+01
9.819999999999999840e-01,9.771007252080738947e-01,7.600000000000000000e+01
9.829999999999999849e-01,9.772089397437917491e-01,7.600000000000000000e+01
9.839999999999999858e-01,9.773222229766885816e-01,7.600000000000000000e+01
9.849999999999999867e-01,9.774371687694227706e-01,7.600000000000000000e+01
9.859999999999999876e-01,9.775503719227119914e-01,7.600000000000000000e+01
9.869999999999999885e-01,9.776584270102741669e-01,7.600000000000000000e+01
9.879999999999999893e-01,9.777579260653904702e-01,7.600000000000000000e+01
9.889999999999999902e-01,9.778454644425638165e-01,7.600000000000000000e+01
9.899999999999999911e-01,9.779176350421995290e-01,7.600000000000000000e+01
9.909999999999999920e-01,9.779778755025491099e-01,7.600000000000000000e+01
9.919999999999999929e-01,9.780325187078211524e-01,7.600000000000000000e+01
9.929999999999999938e-01,9.780824969112587031e-01,7.600000000000000000e+01
9.939999999999999947e-01,9.781287470667542339e-01,7.600000000000000000e+01
9.949999999999999956e-01,9.781722026646888501e-01,7.600000000000000000e+01
9.959999999999999964e-01,9.782137983893364197e-01,7.600000000000000000e+01
9.969999999999999973e-01,9.782544689501657675e-01,7.600000000000000000e+01
9.979999999999999982e-01,9.782951502454346748e-01,7.600000000000000000e+01
9.989999999999999991e-01,9.783367746994692249e-01,7.600000000000000000e+01
1.000000000000000000e+00,9.783802794219773613e-01,7.600000000000000000e+01
1.000999999999999890e+00,9.784248765404781611e-01,7.600000000000000000e+01
1.002000000000000002e+00,9.784691650816208508e-01,7.600000000000000000e+01
1.002999999999999892e+00,9.785131555293717920e-01,7.600000000000000000e+01
1.004000000000000004e+00,9.785568595335789599e-01,7.600000000000000000e+01
1.004999999999999893e+00,9.786002875788540889e-01,7.600000000000000000e+01
1.006000000000000005e+00,9.786434536468628931e-01,7.600000000000000000e+01
1.006999999999999895e+00,9.786863658917077657e-01,7.600000000000000000e+01
1.008000000000000007e+00,9.787290371301188285e-01,7.600000000000000000e+01
1.008999999999999897e+00,9.787714790135724208e-01,7.600000000000000000e+01
1.010000000000000009e+00,9.788137031938614063e-01,7.600000000000000000e+01
1.010999999999999899e+00,9.788540626464301564e-01,7.600000000000000000e+01
1.012000000000000011e+00,9.788916364933480940e-01,7.600000000000000000e+01
1.012999999999999901e+00,9.789275192166283501e-01,7.600000000000000000e+01
1.014000000000000012e+00,9.789628041578684048e-01,7.600000000000000000e+01
1.014999999999999902e+00,9.789985881789441402e-01,7.600000000000000000e+01
1.016000000000000014e+00,9.790359658337679516e-01,7.600000000000000000e+01
1.016999999999999904e+00,9.790760328668898227e-01,7.600000000000000000e+01
1.018000000000000016e+00,9.791198838856662867e-01,7.600000000000000000e+01
1.018999999999999906e+00,9.791686135311330474e-01,7.600000000000000000e+01
1.020000000000000018e+00,9.792233176506914827e-01,7.600000000000000000e+01
1.020999999999999908e+00,9.792879760681005852e-01,7.600000000000000000e+01
1.022000000000000020e+00,9.793647526213622445e-01,7.600000000000000000e+01
1.022999999999999909e+00,9.794520180427077616e-01,7.600000000000000000e+01
1.024000000000000021e+00,9.795481442002070827e-01,7.600000000000000000e+01
1.024999999999999911e+00,9.796515005772911122e-01,7.600000000000000000e+01
1.026000000000000023e+00,9.797604589163120270e-01,7.600000000000000000e+01
1.026999999999999913e+00,9.798733908717059959e-01,7.600000000000000000e+01
1.028000000000000025e+00,9.799886645010493780e-01,7.600000000000000000e+01
1.028999999999999915e+00,9.801046535838612295e-01,7.600000000000000000e+01
1.030000000000000027e+00,9.802197259599025880e-01,7.600000000000000000e+01
1.030999999999999917e+00,9.803423411715467273e-01,7.600000000000000000e+01
1.032000000000000028e+00,9.804791056104685820e-01,7.600000000000000000e+01
1.032999999999999918e+00,9.806256129371171415e-01,7.600000000000000000e+01
1.034000000000000030e+00,9.807774529902734129e-01,7.600000000000000000e+01
1.034999999999999920e+00,9.809302198995506483e-01,7.600000000000000000e+01
1.036000000000000032e+00,9.810795027376534305e-01,7.600000000000000000e+01
1.036999999999999922e+00,9.812208960225582421e-01,7.600000000000000000e+01
1.038000000000000034e+00,9.813499869286712585e-01,7.600000000000000000e+01
1.038999999999999924e+00,9.814623681786723841e-01,7.600000000000000000e+01
1.040000000000000036e+00,9.815536299757928740e-01,7.600000000000000000e+01
1.040999999999999925e+00,9.816289057908421656e-01,7.600000000000000000e+01
1.042000000000000037e+00,9.816970132005835570e-01,7.600000000000000000e+01
1.042999999999999927e+00,9.817590609685492575e-01,7.600000000000000000e+01
1.044000000000000039e+00,9.818161637479214665e-01,7.600000000000000000e+01
