# wavelength(nm), strehl
9.211000000000047976e+02,5.454295465463347981e-01
9.212000000000048203e+02,5.454884374119063351e-01
9.213000000000048431e+02,5.455473170051990950e-01
9.214000000000048658e+02,5.456061853285085750e-01
9.215000000000048885e+02,5.456650423841306052e-01
9.216000000000049113e+02,5.457238881743606829e-01
9.217000000000049340e+02,5.457827227014939719e-01
9.218000000000049567e+02,5.458415459678255255e-01
9.219000000000049795e+02,5.459003579756506186e-01
9.220000000000050022e+02,5.459591587272636382e-01
9.221000000000050250e+02,5.460179482249597482e-01
9.222000000000050477e+02,5.460767264710331137e-01
9.223000000000050704e+02,5.461354934677781214e-01
9.224000000000050932e+02,5.461942492174891584e-01
9.225000000000051159e+02,5.462529937224600562e-01
9.226000000000051386e+02,5.463117269849848689e-01
9.227000000000051614e+02,5.463704490073570952e-01
9.228000000000051841e+02,5.464291597918705667e-01
9.229000000000052069e+02,5.464878593408186713e-01
9.230000000000052296e+02,5.465465476564945746e-01
9.231000000000052523e+02,5.466052247411912202e-01
9.232000000000052751e+02,5.466638905972018847e-01
9.233000000000052978e+02,5.467225452268191788e-01
9.234000000000053205e+02,5.467811886323356019e-01
9.235000000000053433e+02,5.468398208160437646e-01
9.236000000000053660e+02,5.468984417802359443e-01
9.237000000000053888e+02,5.469570515272040856e-01
9.238000000000054115e+02,5.470156500592404658e-01
9.239000000000054342e+02,5.470742373786366963e-01
9.240000000000054570e+02,5.471328134876844995e-01
9.241000000000054797e+02,5.471913783886752647e-01
9.242000000000055024e+02,5.472499320839003811e-01
9.243000000000055252e+02,5.473084745756512381e-01
9.244000000000055479e+02,5.473670058662182258e-01
9.245000000000055707e+02,5.474255259578926225e-01
9.246000000000055934e+02,5.474840348529650402e-01
9.247000000000056161e+02,5.475425325537258692e-01
9.248000000000056389e+02,5.476010190624654994e-01
9.249000000000056616e+02,5.476594943814742100e-01
9.250000000000056843e+02,5.477179585130418360e-01
9.251000000000057071e+02,5.477764114594581013e-01
9.252000000000057298e+02,5.478348532230128409e-01
9.253000000000057526e+02,5.478932838059956678e-01
9.254000000000057753e+02,5.479517032106956398e-01
9.255000000000057980e+02,5.480101114394019257e-01
9.256000000000058208e+02,5.480685084944038055e-01
9.257000000000058435e+02,5.481268943779896707e-01
9.258000000000058662e+02,5.481852690924485794e-01
9.259000000000058890e+02,5.482436326400687010e-01
9.260000000000059117e+02,5.483019850231384273e-01
9.261000000000059345e+02,5.483603262439461501e-01
9.262000000000059572e+02,5.484186563047793728e-01
9.263000000000059799e+02,5.484769752079260430e-01
9.264000000000060027e+02,5.485352829556739973e-01
9.265000000000060254e+02,5.485935795503106283e-01
9.266000000000060481e+02,5.486518649941228842e-01
9.267000000000060709e+02,5.487101392893983798e-01
