# wavelength_um,throughput, length
9.709999999999999742e-01,9.968461174856223517e-01,1.000000000000000000e+01
9.719999999999999751e-01,9.968528086102419472e-01,1.000000000000000000e+01
9.729999999999999760e-01,9.968605350929132802e-01,1.000000000000000000e+01
9.739999999999999769e-01,9.968691510788318944e-01,1.000000000000000000e+01
9.749999999999999778e-01,9.968785105697579585e-01,1.000000000000000000e+01
9.759999999999999787e-01,9.968884675871321210e-01,1.000000000000000000e+01
9.769999999999999796e-01,9.968988764904653799e-01,1.000000000000000000e+01
9.779999999999999805e-01,9.969095911990280001e-01,1.000000000000000000e+01
9.789999999999999813e-01,9.969204661338991746e-01,1.000000000000000000e+01
9.799999999999999822e-01,9.969313554373520070e-01,1.000000000000000000e+01
9.809999999999999831e-01,9.969431528005563425e-01,1.000000000000000000e+01
9.819999999999999840e-01,9.969565439113652339e-01,1.000000000000000000e+01
9.829999999999999849e-01,9.969710713154608106e-01,1.000000000000000000e+01
9.839999999999999858e-01,9.969862776768654289e-01,1.000000000000000000e+01
9.849999999999999867e-01,9.970017056444006043e-01,1.000000000000000000e+01
9.859999999999999876e-01,9.970168981758658067e-01,1.000000000000000000e+01
9.869999999999999885e-01,9.970313983813803294e-01,1.000000000000000000e+01
9.879999999999999893e-01,9.970447491989138378e-01,1.000000000000000000e+01
9.889999999999999902e-01,9.970564941529617142e-01,1.000000000000000000e+01
9.899999999999999911e-01,9.970661765379005281e-01,1.000000000000000000e+01
9.909999999999999920e-01,9.970742579039659770e-01,1.000000000000000000e+01
9.919999999999999929e-01,9.970815880143020227e-01,1.000000000000000000e+01
9.929999999999999938e-01,9.970882920267786220e-01,1.000000000000000000e+01
9.939999999999999947e-01,9.970944956986333985e-01,1.000000000000000000e+01
9.949999999999999956e-01,9.971003242960020385e-01,1.000000000000000000e+01
9.959999999999999964e-01,9.971059032222989726e-01,1.000000000000000000e+01
9.969999999999999973e-01,9.971113578640411479e-01,1.000000000000000000e+01
9.979999999999999982e-01,9.971168137484512917e-01,1.000000000000000000e+01
9.989999999999999991e-01,9.971223959186451546e-01,1.000000000000000000e+01
1.000000000000000000e+00,9.971282300273580645e-01,1.000000000000000000e+01
1.000999999999999890e+00,9.971342103956856162e-01,1.000000000000000000e+01
1.002000000000000002e+00,9.971401491502521752e-01,1.000000000000000000e+01
1.002999999999999892e+00,9.971460477016941271e-01,1.000000000000000000e+01
1.004000000000000004e+00,9.971519076167156825e-01,1.000000000000000000e+01
1.004999999999999893e+00,9.971577303055196850e-01,1.000000000000000000e+01
1.006000000000000005e+00,9.971635176469102468e-01,1.000000000000000000e+01
1.006999999999999895e+00,9.971692707381124565e-01,1.000000000000000000e+01
1.008000000000000007e+00,9.971749913012269984e-01,1.000000000000000000e+01
1.008999999999999897e+00,9.971806809018655127e-01,1.000000000000000000e+01
1.010000000000000009e+00,9.971863411054269211e-01,1.000000000000000000e+01
1.010999999999999899e+00,9.971917511417327518e-01,1.000000000000000000e+01
1.012000000000000011e+00,9.971967876037214351e-01,1.000000000000000000e+01
1.012999999999999901e+00,9.972015972279210105e-01,1.000000000000000000e+01
1.014000000000000012e+00,9.972063265777221241e-01,1.000000000000000000e+01
1.014999999999999902e+00,9.972111226695523634e-01,1.000000000000000000e+01
1.016000000000000014e+00,9.972161321917526466e-01,1.000000000000000000e+01
1.016999999999999904e+00,9.972215019721445417e-01,1.000000000000000000e+01
1.018000000000000016e+00,9.972273786632583903e-01,1.000000000000000000e+01
1.018999999999999906e+00,9.972339088950604724e-01,1.000000000000000000e+01
1.020000000000000018e+00,9.972412394264642543e-01,1.000000000000000000e+01
1.020999999999999908e+00,9.972499034078429192e-01,1.000000000000000000e+01
1.022000000000000020e+00,9.972601905280801260e-01,1.000000000000000000e+01
1.022999999999999909e+00,9.972718821781533238e-01,1.000000000000000000e+01
1.024000000000000021e+00,9.972847599252714357e-01,1.000000000000000000e+01
1.024999999999999911e+00,9.972986050599640384e-01,1.000000000000000000e+01
1.026000000000000023e+00,9.973131992337250784e-01,1.000000000000000000e+01
1.026999999999999913e+00,9.973283241569624868e-01,1.000000000000000000e+01
1.028000000000000025e+00,9.973437611383462187e-01,1.000000000000000000e+01
1.028999999999999915e+00,9.973592923388646669e-01,1.000000000000000000e+01
1.030000000000000027e+00,9.973746992130528843e-01,1.000000000000000000e+01
1.030999999999999917e+00,9.973911142581923794e-01,1.000000000000000000e+01
1.032000000000000028e+00,9.974094214201773001e-01,1.000000000000000000e+01
1.032999999999999918e+00,9.974290302961033028e-01,1.000000000000000000e+01
1.034000000000000030e+00,9.974493502318138027e-01,1.000000000000000000e+01
1.034999999999999920e+00,9.974697914468803051e-01,1.000000000000000000e+01
1.036000000000000032e+00,9.974897637998145772e-01,1.000000000000000000e+01
1.036999999999999922e+00,9.975086781864132002e-01,1.000000000000000000e+01
1.038000000000000034e+00,9.975259447989420769e-01,1.000000000000000000e+01
1.038999999999999924e+00,9.975409747979232522e-01,1.000000000000000000e+01
1.040000000000000036e+00,9.975531791571321527e-01,1.000000000000000000e+01
