wavelength (nm), strehl
9.848499999999955890e+02,3.436601945106281808e-01
9.848999999999955435e+02,3.436919729406353041e-01
9.849499999999954980e+02,3.437237497682988918e-01
9.849999999999954525e+02,3.437555249935225765e-01
9.850499999999954071e+02,3.437872986162106570e-01
9.850999999999953616e+02,3.438190706362670990e-01
9.851499999999953161e+02,3.438508410535960347e-01
9.851999999999952706e+02,3.438826098681013743e-01
9.852499999999952252e+02,3.439143770796878052e-01
9.852999999999951797e+02,3.439461426882596262e-01
9.853499999999951342e+02,3.439779066937212471e-01
9.853999999999950887e+02,3.440096690959773551e-01
9.854499999999950433e+02,3.440414298949321936e-01
9.854999999999949978e+02,3.440731890904910051e-01
9.855499999999949523e+02,3.441049466825582548e-01
9.855999999999949068e+02,3.441367026710386856e-01
9.856499999999948614e+02,3.441684570558374845e-01
9.856999999999948159e+02,3.442002098368595608e-01
9.857499999999947704e+02,3.442319610140101571e-01
9.857999999999947249e+02,3.442637105871942382e-01
9.858499999999946795e+02,3.442954585563171577e-01
9.858999999999946340e+02,3.443272049212841579e-01
9.859499999999945885e+02,3.443589496820012030e-01
9.859999999999945430e+02,3.443906928383729249e-01
9.860499999999944976e+02,3.444224343903056207e-01
9.860999999999944521e+02,3.444541743377044218e-01
9.861499999999944066e+02,3.444859126804755700e-01
9.861999999999943611e+02,3.445176494185244742e-01
9.862499999999943157e+02,3.445493845517573206e-01
9.862999999999942702e+02,3.445811180800799622e-01
9.863499999999942247e+02,3.446128500033984188e-01
9.863999999999941792e+02,3.446445803216188208e-01
9.864499999999941338e+02,3.446763090346475211e-01
9.864999999999940883e+02,3.447080361423906503e-01
9.865499999999940428e+02,3.447397616447547830e-01
9.865999999999939973e+02,3.447714855416461055e-01
9.866499999999939519e+02,3.448032078329714145e-01
9.866999999999939064e+02,3.448349285186371738e-01
9.867499999999938609e+02,3.448666475985501800e-01
9.867999999999938154e+02,3.448983650726171746e-01
9.868499999999937700e+02,3.449300809407447876e-01
9.868999999999937245e+02,3.449617952028402601e-01
9.869499999999936790e+02,3.449935078588104442e-01
9.869999999999936335e+02,3.450252189085624699e-01
9.870499999999935881e+02,3.450569283520036890e-01
9.870999999999935426e+02,3.450886361890408982e-01
9.871499999999934971e+02,3.451203424195818936e-01
9.871999999999934516e+02,3.451520470435336940e-01
9.872499999999934062e+02,3.451837500608039844e-01
9.872999999999933607e+02,3.452154514713005051e-01
9.873499999999933152e+02,3.452471512749304972e-01
9.873999999999932697e+02,3.452788494716020340e-01
9.874499999999932243e+02,3.453105460612226896e-01
9.874999999999931788e+02,3.453422410437004264e-01
9.875499999999931333e+02,3.453739344189433180e-01
9.875999999999930878e+02,3.454056261868591604e-01
9.876499999999930424e+02,3.454373163473560826e-01
9.876999999999929969e+02,3.454690049003426022e-01
9.877499999999929514e+02,3.455006918457266818e-01
9.877999999999929059e+02,3.455323771834167834e-01
9.878499999999928605e+02,3.455640609133213137e-01
9.878999999999928150e+02,3.455957430353486792e-01
9.879499999999927695e+02,3.456274235494077862e-01
9.879999999999927240e+02,3.456591024554068747e-01
9.880499999999926786e+02,3.456907797532550730e-01
9.880999999999926331e+02,3.457224554428611207e-01
9.881499999999925876e+02,3.457541295241338131e-01
9.881999999999925421e+02,3.457858019969818897e-01
9.882499999999924967e+02,3.458174728613148674e-01
9.882999999999924512e+02,3.458491421170417079e-01
9.883499999999924057e+02,3.458808097640715951e-01
9.883999999999923602e+02,3.459124758023138235e-01
9.884499999999923148e+02,3.459441402316778547e-01
9.884999999999922693e+02,3.459758030520729832e-01
9.885499999999922238e+02,3.460074642634088371e-01
9.885999999999921783e+02,3.460391238655948776e-01
9.886499999999921329e+02,3.460707818585410656e-01
9.886999999999920874e+02,3.461024382421569734e-01
9.887499999999920419e+02,3.461340930163523955e-01
9.887999999999919964e+02,3.461657461810374037e-01
9.888499999999919510e+02,3.461973977361220145e-01
9.888999999999919055e+02,3.462290476815161333e-01
9.889499999999918600e+02,3.462606960171299986e-01
9.889999999999918145e+02,3.462923427428739598e-01
9.890499999999917691e+02,3.463239878586581999e-01
9.890999999999917236e+02,3.463556313643930684e-01
9.891499999999916781e+02,3.463872732599890258e-01
9.891999999999916326e+02,3.464189135453566437e-01
9.892499999999915872e+02,3.464505522204067711e-01
9.892999999999915417e+02,3.464821892850499796e-01
9.893499999999914962e+02,3.465138247391965631e-01
9.893999999999914507e+02,3.465454585827581480e-01
9.894499999999914053e+02,3.465770908156452501e-01
9.894999999999913598e+02,3.466087214377687187e-01
9.895499999999913143e+02,3.466403504490400134e-01
9.895999999999912689e+02,3.466719778493703163e-01
9.896499999999912234e+02,3.467036036386703657e-01
9.896999999999911779e+02,3.467352278168520652e-01
9.897499999999911324e+02,3.467668503838265970e-01
9.897999999999910870e+02,3.467984713395052543e-01
9.898499999999910415e+02,3.468300906837999409e-01
9.898999999999909960e+02,3.468617084166220055e-01
9.899499999999909505e+02,3.468933245378831298e-01
9.899999999999909051e+02,3.469249390474954953e-01
9.900499999999908596e+02,3.469565519453703950e-01
9.900999999999908141e+02,3.469881632314202324e-01
9.901499999999907686e+02,3.470197729055568558e-01
