Preliminary design data,,
1551,,
Wavelength (nm),%R,%T
1223,0.982287,1.76E-02
1224,0.9836075,1.63E-02
1225,0.9849087,1.50E-02
1226,0.9861459,1.38E-02
1227,0.9872926,1.27E-02
1228,0.9883369,1.16E-02
1229,0.989276,1.07E-02
1230,0.9901133,9.84E-03
1231,0.9908555,9.10E-03
1232,0.991511,8.45E-03
1233,0.9920886,7.87E-03
1234,0.9925967,7.37E-03
1235,0.9930434,6.92E-03
1236,0.9934356,6.53E-03
1237,0.9937798,6.19E-03
1238,0.9940815,5.89E-03
1239,0.9943456,5.62E-03
1240,0.9945761,5.39E-03
1241,0.9947767,5.19E-03
1242,0.9949503,5.02E-03
1243,0.9950995,4.87E-03
1244,0.9952266,4.74E-03
1245,0.9953333,4.64E-03
1246,0.9954211,4.55E-03
1247,0.9954911,4.48E-03
1248,0.9955445,4.42E-03
1249,0.9955818,4.39E-03
1250,0.9956036,4.36E-03
1251,0.9956102,4.36E-03
1252,0.9956017,4.36E-03
1253,0.9955778,4.38E-03
1254,0.9955381,4.42E-03
1255,0.9954821,4.47E-03
1256,0.9954087,4.54E-03
1257,0.9953165,4.63E-03
1258,0.9952036,4.74E-03
1259,0.9950676,4.87E-03
1260,0.9949051,5.02E-03
1261,0.9947115,5.20E-03
1262,0.9944812,0.0054158
1263,0.9942068,5.67E-03
1264,0.9938806,5.97E-03
1265,0.9934967,6.33E-03
1266,0.9930584,6.73E-03
1267,0.9925882,7.17E-03
1268,0.9921304,7.61E-03
1269,0.9917272,8.02E-03
1270,0.9913811,8.38E-03
1271,0.9910515,8.74E-03
1272,0.9906899,9.13E-03
1273,0.9902639,9.58E-03
1274,0.9897586,1.01E-02
1275,0.989169,1.07E-02
1276,0.9884947,1.14E-02
1277,0.9877377,1.22E-02
1278,0.9869019,1.30E-02
1279,0.9859939,1.39E-02
1280,0.9850245,0.0148876
1281,0.9840105,1.59E-02
1282,0.9829745,1.69E-02
1283,0.9819472,1.80E-02
1284,0.9809666,1.89E-02
1285,0.9800768,1.98E-02
1286,0.979324,2.06E-02
1287,0.9787518,2.12E-02
1288,0.9783956,2.15E-02
1289,0.9782767,2.16E-02
1290,0.9783992,2.15E-02
1291,0.9787495,2.12E-02
1292,0.9792991,2.06E-02
1293,0.9800091,1.99E-02
1294,0.9808363,0.0190882
1295,0.9817379,1.82E-02
1296,0.9826757,0.0172557
1297,0.9836181,1.63E-02
1298,0.9845407,0.0153972
1299,0.9854258,1.45E-02
1300,0.9862617,1.37E-02
1301,0.9870415,1.29E-02
1302,0.987762,1.22E-02
1303,0.9884224,1.15E-02
1304,0.9890238,1.09E-02
1305,0.9895682,1.04E-02
1306,0.9900584,9.89E-03
1307,0.9904969,9.46E-03
1308,0.9908869,9.06E-03
1309,0.9912306,8.72E-03
1310,0.9915303,8.42E-03
1311,0.9917875,8.16E-03
1312,0.9920031,7.94E-03
1313,0.9921775,7.77E-03
1314,0.9923098,7.63E-03
1315,0.9923986,7.54E-03
1316,0.9924411,7.49E-03
1317,0.9924337,7.49E-03
1318,0.9923722,7.54E-03
1319,0.9922523,7.65E-03
1320,0.9920726,7.82E-03
1321,0.9918373,8.04E-03
1322,0.9915623,8.30E-03
1323,0.99128,8.57E-03
1324,0.9910412,8.79E-03
1325,0.9909031,8.93E-03
1326,0.990906,8.92E-03
1327,0.9910523,8.79E-03
1328,0.9913064,8.54E-03
1329,0.9916152,8.25E-03
1330,0.9919309,7.95E-03
1331,0.9922213,7.68E-03
1332,0.9924701,7.44E-03
1333,0.992672,7.25E-03
1334,0.9928278,7.10E-03
1335,0.9929408,7.00E-03
1336,0.9930157,6.93E-03
1337,0.9930562,6.89E-03
1338,0.9930661,6.89E-03
1339,0.9930482,6.91E-03
1340,0.9930049,6.96E-03
1341,0.9929378,7.03E-03
1342,0.9928482,7.12E-03
1343,0.9927367,7.23E-03
1344,0.9926038,7.37E-03
1345,0.9924494,7.52E-03
1346,0.9922734,7.70E-03
1347,0.9920752,7.90E-03
1348,0.9918541,8.12E-03
1349,0.991609,8.37E-03
1350,0.9913388,8.64E-03
1351,0.9910419,8.94E-03
1352,0.9907166,9.26E-03
1353,0.9903609,9.62E-03
1354,0.9899726,1.00E-02
1355,0.989549,1.04E-02
1356,0.9890872,1.09E-02
1357,0.988584,1.14E-02
1358,0.9880356,1.19E-02
1359,0.9874378,1.25E-02
1360,0.9867861,1.32E-02
1361,0.986075,1.39E-02
1362,0.9852989,0.0146815
1363,0.9844511,1.55E-02
1364,0.9835241,1.65E-02
1365,0.9825095,1.75E-02
1366,0.9813979,1.86E-02
1367,0.9801788,1.98E-02
1368,0.9788401,2.11E-02
1369,0.9773681,2.26E-02
1370,0.9757478,2.42E-02
1371,0.9739616,2.60E-02
1372,0.9719901,2.80E-02
1373,0.969811,3.02E-02
1374,0.9673991,3.26E-02
1375,0.9647259,3.53E-02
1376,0.9617589,3.82E-02
1377,0.9584618,4.15E-02
1378,0.9547927,4.52E-02
1379,0.9507051,4.93E-02
1380,0.9461458,0.0538298
1381,0.9410666,5.89E-02
1382,0.9353926,0.0645817
1383,0.92905,7.09E-02
1384,0.9219575,7.80E-02
1385,0.9140258,0.0859459
1386,0.9051586,0.0948122
1387,0.8952531,0.1047167
1388,0.8842025,0.1157661
1389,0.8718994,0.128068
1390,0.8582403,0.1417259
1391,0.8431328,0.156832
1392,0.8265046,0.1734588
1393,0.8083153,0.1916467
1394,0.78857,0.2113904
1395,0.7673351,0.2326239
1396,0.7447523,0.2552052
1397,0.7210541,0.2789019
1398,0.6965694,0.3033852
1399,0.6717221,0.3282313
1400,0.6470179,0.3529344
1401,0.622973,0.3769783
1402,0.6002128,0.3997379
1403,0.5792847,0.4206656
1404,0.5606559,0.4392941
1405,0.5446732,0.4552768
1406,0.5315367,0.4684134
1407,0.5212927,0.4786578
1408,0.5138448,0.4861063
1409,0.5089787,0.4909731
1410,0.5063958,0.4935568
1411,0.5057477,0.4942056
1412,0.5066684,0.4932857
1413,0.5087991,0.4911558
1414,0.5118061,0.4881495
1415,0.5153919,0.4845644
1416,0.5193001,0.4806568
1417,0.5233154,0.476642
1418,0.5272623,0.4726955
1419,0.5310002,0.468958
1420,0.5344189,0.4655395
1421,0.5374339,0.4625247
1422,0.5399816,0.459977
1423,0.5420148,0.4579438
1424,0.5434993,0.4564592
1425,0.5444103,0.455548
1426,0.5447299,0.455228
1427,0.5444445,0.455513
1428,0.5435428,0.4564142
1429,0.5420138,0.4579426
1430,0.5398448,0.4601109
1431,0.5370201,0.4629348
1432,0.5335187,0.4664353
1433,0.5293126,0.4706403
1434,0.5243648,0.475587
1435,0.5186265,0.481324
1436,0.5120352,0.4879139
1437,0.5045114,0.4954362
1438,0.4959557,0.5039901
1439,0.4862467,0.5136973
1440,0.4752379,0.5247039
1441,0.4627843,0.5371552
1442,0.4486701,0.5512669
1443,0.4326811,0.5672531
1444,0.4145957,0.5853356
1445,0.3942031,0.6057249
1446,0.3713356,0.628589
1447,0.3459102,0.6540109
1448,0.3179843,0.6819331
1449,0.2878157,0.7120979
