Preliminary design data,,
1901,,
Wavelength (nm),%R,%T
673,0.988359,1.16E-02
673.2000122,0.9882092,1.18E-02
673.4000244,0.988012,1.20E-02
673.5999756,0.9877665,1.22E-02
673.7999878,0.9874707,1.25E-02
674,0.9871221,1.29E-02
674.2000122,0.9867173,1.33E-02
674.4000244,0.9862523,1.37E-02
674.5999756,0.9857221,1.43E-02
674.7999878,0.9851202,1.49E-02
675,0.9844397,1.55E-02
675.2000122,0.9836719,1.63E-02
675.4000244,0.9828069,0.0171769
675.5999756,0.9818331,1.82E-02
675.7999878,0.9807361,1.92E-02
676,0.9795,2.05E-02
676.2000122,0.9781055,2.19E-02
676.4000244,0.9765301,2.35E-02
676.5999756,0.9747477,2.52E-02
676.7999878,0.9727254,2.73E-02
677,0.9704264,2.96E-02
677.2000122,0.9678057,3.22E-02
677.4000244,0.9648101,0.0351676
677.5999756,0.9613767,0.0385999
677.7999878,0.9574268,4.25E-02
678,0.9528692,4.71E-02
678.2000122,0.9475932,5.24E-02
678.4000244,0.9414656,5.85E-02
678.5999756,0.9343287,6.56E-02
678.7999878,0.9259872,7.40E-02
679,0.916216,8.37E-02
679.2000122,0.904748,9.52E-02
679.4000244,0.8912752,0.1086818
679.5999756,0.8754573,0.1244956
679.7999878,0.8569145,0.1430339
680,0.8352848,0.1646585
680.2000122,0.8103495,0.1895881
680.4000244,0.781875,0.2180564
680.5999756,0.7499703,0.2499542
680.7999878,0.7151335,0.2847839
681,0.6784618,0.3214486
681.2000122,0.6416924,0.3582113
681.4000244,0.6071212,0.3927767
681.5999756,0.577282,0.4226116
681.7999878,0.5543783,0.4455127
682,0.5397836,0.4601064
682.2000122,0.5336679,0.4662227
682.4000244,0.5350356,0.4648567
682.5999756,0.5420505,0.4578439
682.7999878,0.5524687,0.4474275
683,0.563932,0.4359649
683.2000122,0.5740519,0.4258436
683.4000244,0.5801901,0.4197004
683.5999756,0.5788721,0.421008
683.7999878,0.5646557,0.4352045
684,0.5285043,0.4713196
684.2000122,0.4584427,0.5413182
684.4000244,0.3580708,0.6416031
684.5999756,0.2952951,0.704331
684.7999878,0.342957,0.6567252
685,0.4426197,0.5571522
685.2000122,0.5270336,0.4728038
685.4000244,0.5853169,0.4145606
685.5999756,0.6244851,0.375417
685.7999878,0.6514457,0.3484721
686,0.6706325,0.3292959
686.2000122,0.6847418,0.315194
686.4000244,0.6954314,0.3045096
686.5999756,0.7037591,0.2961861
686.7999878,0.7104384,0.2895097
687,0.7159628,0.2839877
687.2000122,0.7206938,0.2792586
687.4000244,0.7249037,0.2750503
687.5999756,0.7288004,0.2711549
687.7999878,0.7325484,0.2674081
688,0.7362708,0.2636866
688.2000122,0.740061,0.2598972
688.4000244,0.7439858,0.2559733
688.5999756,0.7480877,0.2518722
688.7999878,0.7523946,0.247566
689,0.7569157,0.2430454
689.2000122,0.7616513,0.2383105
689.4000244,0.7665945,0.2333679
689.5999756,0.7717336,0.2282295
689.7999878,0.7770597,0.222904
690,0.7825584,0.217406
690.2000122,0.7882142,0.2117509
690.4000244,0.7940074,0.2059583
690.5999756,0.7999093,0.2000571
690.7999878,0.8058875,0.1940796
691,0.8118948,0.1880731
691.2000122,0.8178772,0.1820913
691.4000244,0.8237759,0.1761934
691.5999756,0.8295287,0.1704412
691.7999878,0.835082,0.1648886
692,0.840383,0.1595882
692.2000122,0.8453895,0.1545823
692.4000244,0.8500692,0.1499032
692.5999756,0.8543975,0.1455753
692.7999878,0.858363,0.1416103
693,0.8619568,0.1380169
693.2000122,0.8651775,0.1347966
693.4000244,0.8680272,0.1319472
693.5999756,0.8705103,0.1294642
693.7999878,0.8726349,0.1273398
694,0.8744071,0.1255678
694.2000122,0.8758337,0.1241412
694.4000244,0.8769208,0.1230542
694.5999756,0.877673,0.1223021
694.7999878,0.878094,0.121881
695,0.8781853,0.1217897
695.2000122,0.8779464,0.1220284
695.4000244,0.8773751,0.1225995
695.5999756,0.8764672,0.1235072
695.7999878,0.8752155,0.1247587
696,0.8736112,0.1263626
696.2000122,0.8716432,0.1283303
696.4000244,0.8692979,0.1306752
696.5999756,0.8665603,0.1334123
696.7999878,0.8634106,0.1365615
697,0.8598293,0.1401422
697.2000122,0.8557942,0.1441768
697.4000244,0.8512813,0.148689
697.5999756,0.846267,0.1537025
697.7999878,0.8407226,0.1592462
698,0.8346236,0.1653443
698.2000122,0.8279459,0.172021
698.4000244,0.8206683,0.1792976
698.5999756,0.8127767,0.1871881
698.7999878,0.8042575,0.1957061
699,0.7951153,0.204847
699.2000122,0.7853673,0.2145936
699.4000244,0.7750515,0.2249079
699.5999756,0.7642366,0.2357213
699.7999878,0.7530172,0.246939
700,0.7415447,0.2584098
700.2000122,0.7300733,0.2698794
700.4000244,0.7188336,0.2811173
700.5999756,0.708189,0.2917601
700.7999878,0.6985779,0.3013695
701,0.6905135,0.3094324
701.2000122,0.6845194,0.3154253
701.4000244,0.6810474,0.3188965
701.5999756,0.6803793,0.3195643
701.7999878,0.6825542,0.3173894
702,0.6873609,0.3125832
702.2000122,0.6943941,0.3055508
702.4000244,0.7031521,0.2967938
702.5999756,0.7131245,0.2868225
702.7999878,0.7238652,0.2760829
703,0.7349993,0.2649499
703.2000122,0.7462365,0.2537138
703.4000244,0.7573581,0.2425931
703.5999756,0.768201,0.2317511
703.7999878,0.7786577,0.2212951
704,0.788647,0.2113064
704.2000122,0.7981191,0.2018348
704.4000244,0.8070458,0.1929085
704.5999756,0.8154131,0.1845415
704.7999878,0.823227,0.1767278
705,0.8304954,0.1694594
705.2000122,0.8372352,0.1627196
705.4000244,0.843468,0.1564868
705.5999756,0.8492164,0.1507382
705.7999878,0.8545099,0.1454443
706,0.8593735,0.1405805
706.2000122,0.8638334,0.1361202
706.4000244,0.8679156,0.1320375
706.5999756,0.8716438,0.1283087
706.7999878,0.8750442,0.1249077
707,0.8781379,0.1218133
707.2000122,0.880946,0.1190044
707.4000244,0.883488,0.1164616
707.5999756,0.8857816,0.1141671
707.7999878,0.8878452,0.1121026
708,0.8896936,0.1102531
708.2000122,0.8913416,0.1086041
708.4000244,0.8928025,0.107142
708.5999756,0.8940887,0.1058546
708.7999878,0.8952124,0.1047297
709,0.8961841,0.1037567
709.2000122,0.8970137,0.1029257
709.4000244,0.8977107,0.1022273
