Preliminary design data,,
1901,,
Wavelength (nm),%R,%T
981,5.15E-02,0.9483348
982,5.07E-02,0.9491412
983,5.05E-02,0.9493943
984,5.08E-02,0.9490741
985,5.16E-02,0.9482653
986,5.27E-02,0.9471381
987,5.40E-02,0.9459123
988,0.055061,0.9448178
989,5.58E-02,0.9440569
990,0.0561053,0.9437743
991,5.58E-02,0.944037
992,5.51E-02,0.9448276
993,5.38E-02,0.9460484
994,5.23E-02,0.9475372
995,5.08E-02,0.9490929
996,4.94E-02,0.950507
997,4.83E-02,0.9515982
998,4.76E-02,0.9522416
999,0.0474927,0.9523878
1000,4.78E-02,0.9520692
1001,4.85E-02,0.9513916
1002,4.94E-02,0.9505117
1003,5.03E-02,0.9496096
1004,5.10E-02,0.9488598
1005,5.15E-02,0.9484044
1006,5.15E-02,0.9483344
1007,5.12E-02,0.9486768
1008,5.05E-02,0.9493929
1009,4.95E-02,0.950384
1010,4.84E-02,0.9515045
1011,4.73E-02,0.9525837
1012,4.64E-02,0.9534494
1013,4.59E-02,0.9539566
1014,4.59E-02,0.9540089
1015,4.63E-02,0.9535735
1016,4.72E-02,0.9526938
1017,4.84E-02,0.9514763
1018,4.98E-02,0.9500766
1019,5.12E-02,0.9486763
1020,5.24E-02,0.9474578
1021,5.33E-02,0.9465799
1022,0.0537295,0.9461565
1023,5.36E-02,0.9462449
1024,5.30E-02,0.9468383
1025,5.20E-02,0.9478665
1026,5.07E-02,0.9492021
1027,4.92E-02,0.9506766
1028,4.78E-02,0.9520986
1029,0.046607,0.9532793
1030,4.58E-02,0.9540569
1031,4.56E-02,0.9543197
1032,4.59E-02,0.9540218
1033,4.67E-02,0.9531897
1034,4.80E-02,0.9519179
1035,4.95E-02,0.9503549
1036,5.12E-02,0.948682
1037,5.28E-02,0.9470902
1038,5.41E-02,0.9457564
1039,5.51E-02,0.9448234
1040,0.0555037,0.9443853
1041,5.54E-02,0.9444773
1042,5.48E-02,0.9450724
1043,5.38E-02,0.946084
1044,0.0525139,0.9473753
1045,5.11E-02,0.9487725
1046,4.98E-02,0.950085
1047,4.88E-02,0.9511284
1048,4.81E-02,0.9517495
1049,4.80E-02,0.9518462
1050,4.85E-02,0.9513828
1051,4.95E-02,0.9503941
1052,5.09E-02,0.9489805
1053,5.26E-02,0.9472923
1054,5.44E-02,0.9455096
1055,5.61E-02,0.9438191
1056,0.057499,0.9423925
1057,5.85E-02,0.9413677
1058,0.0590548,0.9408371
1059,5.91E-02,0.9408382
1060,5.85E-02,0.9413522
1061,5.76E-02,0.9423018
1062,0.0563244,0.9435675
1063,5.49E-02,0.9449922
1064,5.35E-02,0.9463981
1065,0.052284,0.9476077
1066,5.14E-02,0.9484641
1067,5.10E-02,0.9488534
1068,5.12E-02,0.9487202
1069,5.18E-02,0.9480775
1070,5.29E-02,0.9470055
1071,5.43E-02,0.9456416
1072,5.57E-02,0.9441617
1073,5.71E-02,0.9427571
1074,5.83E-02,0.9416114
1075,5.90E-02,0.9408785
1076,5.92E-02,0.9406662
1077,5.89E-02,0.9410253
1078,5.80E-02,0.9419438
1079,5.65E-02,0.9433474
1080,5.48E-02,0.9451059
1081,0.0528464,0.947047
1082,5.09E-02,0.9489601
1083,4.93E-02,0.9506295
1084,4.80E-02,0.9518573
