Preliminary design data,,
2161,,
Wavelength (nm),%R,%T
1564,3.29E-02,0.949419
1565,3.33E-02,0.9490635
1566,3.37E-02,0.9486711
1567,3.41E-02,0.9482589
1568,3.46E-02,0.9478444
1569,3.50E-02,0.9474456
1570,3.54E-02,0.9470791
1571,3.57E-02,0.9467605
1572,3.60E-02,0.9465026
1573,3.62E-02,0.9463162
1574,3.63E-02,0.9462086
1575,3.63E-02,0.9461843
1576,3.62E-02,0.9462441
1577,0.0361103,0.9463854
1578,3.59E-02,0.9466022
1579,3.56E-02,0.9468858
1580,3.53E-02,0.9472245
1581,3.49E-02,0.9476046
1582,3.45E-02,0.948011
1583,0.0340711,0.9484273
1584,3.37E-02,0.9488372
1585,3.33E-02,0.9492245
1586,3.29E-02,0.9495743
1587,3.26E-02,0.9498733
1588,0.0323963,0.9501106
1589,3.22E-02,0.950278
1590,3.21E-02,0.9503703
1591,3.21E-02,0.9503853
1592,3.22E-02,0.9503249
1593,3.24E-02,0.9501933
1594,3.26E-02,0.9499982
1595,3.28E-02,0.9497497
1596,3.31E-02,0.9494603
1597,3.34E-02,0.9491438
1598,3.38E-02,0.948815
1599,3.41E-02,0.9484893
1600,3.44E-02,0.9481812
1601,3.47E-02,0.9479061
1602,3.50E-02,0.9476705
1603,3.52E-02,0.9474839
1604,3.53E-02,0.9473538
1605,3.54E-02,0.9472852
1606,0.0353712,0.9472808
1607,3.53E-02,0.9473401
1608,3.52E-02,0.9474605
1609,3.50E-02,0.9476367
1610,3.48E-02,0.947861
1611,3.45E-02,0.948124
1612,3.42E-02,0.9484141
1613,3.39E-02,0.9487195
1614,0.0336007,0.9490272
1615,0.0332999,0.9493239
1616,0.033023,0.9495973
1617,3.28E-02,0.9498359
1618,3.26E-02,0.9500299
1619,3.24E-02,0.9501706
1620,3.24E-02,0.9502527
1621,3.23E-02,0.9502727
1622,3.24E-02,0.95023
1623,0.0324968,0.9501266
1624,0.0326606,0.9499672
1625,0.032874,0.9497586
1626,3.31E-02,0.9495101
1627,3.34E-02,0.9492327
1628,3.37E-02,0.9489383
1629,3.40E-02,0.9486394
1630,3.43E-02,0.9483493
1631,3.46E-02,0.9480804
1632,3.48E-02,0.9478441
1633,3.50E-02,0.9476507
1634,3.51E-02,0.9475083
1635,3.52E-02,0.9474232
1636,3.53E-02,0.9473987
1637,0.0352076,0.9474357
1638,3.51E-02,0.9475327
1639,3.49E-02,0.9476849
1640,0.0347288,0.9478858
1641,3.45E-02,0.9481263
1642,3.42E-02,0.9483958
1643,3.39E-02,0.9486821
1644,0.0335918,0.9489725
1645,3.33E-02,0.949254
1646,3.30E-02,0.9495138
1647,3.28E-02,0.9497405
1648,3.26E-02,0.9499238
1649,0.0324505,0.9500556
1650,3.24E-02,0.9501301
1651,3.23E-02,0.9501443
1652,3.24E-02,0.9500976
1653,3.25E-02,0.9499928
1654,3.26E-02,0.9498349
1655,3.28E-02,0.9496319
1656,0.0330678,0.9493935
1657,3.33E-02,0.9491311
1658,3.36E-02,0.9488572
1659,3.39E-02,0.948585
1660,3.41E-02,0.9483271
1661,3.43E-02,0.9480955
1662,3.45E-02,0.947907
1663,3.46E-02,0.9477637
1664,3.47E-02,0.9476718
1665,3.47E-02,0.9476346
1666,0.0347068,0.9476528
1667,3.46E-02,0.9477237
1668,3.45E-02,0.9478426
1669,3.43E-02,0.9480014
1670,3.41E-02,0.94819
1671,0.0338493,0.9483968
1672,3.36E-02,0.9486092
1673,0.0333798,0.948814
1674,3.32E-02,0.9489987
1675,3.30E-02,0.9491515
1676,3.29E-02,0.9492624
1677,3.28E-02,0.9493243
1678,3.27E-02,0.9493325
1679,3.28E-02,0.9492857
1680,3.28E-02,0.949186
1681,3.30E-02,0.9490387
1682,3.31E-02,0.9488462
1683,3.33E-02,0.9486253
1684,3.35E-02,0.9483888
1685,3.37E-02,0.9481513
1686,3.39E-02,0.9479274
1687,3.41E-02,0.9477311
1688,3.42E-02,0.9475751
1689,3.43E-02,0.9474692
1690,3.43E-02,0.9474204
1691,3.42E-02,0.9474313
1692,3.41E-02,0.9475006
1693,3.40E-02,0.9476222
1694,3.37E-02,0.9477858
1695,3.35E-02,0.9479771
1696,0.0332469,0.9481788
1697,3.30E-02,0.9483712
1698,3.28E-02,0.9485341
1699,3.26E-02,0.9486476
1700,3.25E-02,0.9486942
1701,3.25E-02,0.9486595
1702,3.25E-02,0.9485351
1703,3.27E-02,0.9483179
1704,0.0329408,0.9480126
1705,0.0332633,0.9476305
1706,3.36E-02,0.9471905
1707,3.41E-02,0.9467171
1708,3.45E-02,0.9462399
1709,0.0348449,0.9457912
1710,3.52E-02,0.9454044
1711,3.54E-02,0.9451085
1712,3.55E-02,0.9449279
1713,3.54E-02,0.9448789
1714,3.52E-02,0.9449672
1715,3.49E-02,0.9451854
1716,3.44E-02,0.9455128
1717,3.39E-02,0.9459144
1718,3.33E-02,0.9463421
1719,3.28E-02,0.9467379
1720,3.24E-02,0.9470374
1721,3.21E-02,0.9471751
1722,3.20E-02,0.9470918
1723,3.22E-02,0.9467407
1724,3.27E-02,0.9460959
1725,0.0334965,0.9451577
1726,3.45E-02,0.9439576
1727,3.58E-02,0.9425602
1728,3.71E-02,0.9410617
1729,3.84E-02,0.9395837
1730,3.96E-02,0.9382635
1731,0.0403719,0.9372408
1732,4.07E-02,0.9366391
1733,4.05E-02,0.9365479
1734,0.0397533,0.937
1735,3.84E-02,0.9379534
1736,3.67E-02,0.9392759
1737,3.48E-02,0.9407395
1738,3.30E-02,0.9420286
1739,3.17E-02,0.942771
1740,3.13E-02,0.9425925
1741,3.22E-02,0.9412002
1742,3.43E-02,0.938482
1743,3.76E-02,0.934608
1744,4.15E-02,0.9300983
1745,4.51E-02,0.925825
1746,4.71E-02,0.9228951
1747,4.65E-02,0.9223446
1748,4.27E-02,0.9245006
1749,3.73E-02,0.9277668
1750,3.56E-02,0.9265539
1751,5.00E-02,0.9087924
1752,9.98E-02,0.8560983
1753,0.2018823,0.7527965
1754,0.3529411,0.6034001
1755,0.5220824,0.4386531
1756,0.6718898,0.2945536
1757,0.7835722,0.1884299
1758,0.8585213,0.1181629
1759,0.9063325,7.40E-02
1760,0.9363775,4.69E-02
1761,0.9553596,3.01E-02
1762,0.9675471,1.96E-02
1763,0.9755419,0.0130179
1764,0.9809146,8.77E-03
1765,0.9846175,5.99E-03
1766,0.9872364,4.15E-03
1767,0.9891368,2.91E-03
1768,0.9905513,2.07E-03
1769,0.9916304,1.48E-03
1770,0.9924734,1.07E-03
1771,0.9931468,7.85E-04
1772,0.9936961,5.79E-04
1773,0.9941528,4.30E-04
1774,0.9945388,3.22E-04
1775,0.9948705,2.43E-04
1776,0.9951591,1.85E-04
1777,0.9954135,1.41E-04
1778,0.9956397,1.09E-04
1779,0.9958429,8.39E-05
1780,0.9960268,6.52E-05
1781,0.9961942,5.10E-05
1782,0.9963477,4.00E-05
1783,0.996489,3.16E-05
1784,0.9966197,2.50E-05
1785,0.9967411,1.99E-05
1786,0.9968542,1.59E-05
1787,0.9969599,1.28E-05
1788,0.9970589,1.03E-05
1789,0.997152,8.32E-06
1790,0.9972395,6.75E-06
1791,0.9973221,5.49E-06
1792,0.9974002,4.49E-06
1793,0.997474,3.68E-06
1794,0.997544,3.02E-06
1795,0.9976104,2.49E-06
1796,0.9976736,2.06E-06
1797,0.9977337,1.71E-06
1798,0.9977909,1.42E-06
1799,0.9978456,1.18E-06
1800,0.9978977,9.88E-07
1801,0.9979477,8.27E-07
1802,0.9979955,6.94E-07
1803,0.9980413,5.84E-07
1804,0.9980851,4.92E-07
1805,0.9981272,4.16E-07
1806,0.9981675,3.52E-07
1807,0.9982062,2.99E-07
1808,0.9982433,2.54E-07
1809,0.998279,2.17E-07
1810,0.9983134,1.85E-07
1811,0.9983464,1.58E-07
1812,0.9983784,1.36E-07
1813,0.998409,1.17E-07
1814,0.9984386,1.00E-07
1815,0.998467,8.66E-08
1816,0.9984946,7.48E-08
1817,0.9985211,6.47E-08
1818,0.9985468,5.61E-08
1819,0.9985715,4.87E-08
1820,0.9985955,4.24E-08
1821,0.9986187,3.69E-08
1822,0.9986411,3.22E-08
1823,0.9986628,2.81E-08
1824,0.9986838,2.46E-08
