Preliminary design data,,
1901,,
Wavelength (nm),%R,%T
1155,4.86E-02,0.9513058
1156,4.78E-02,0.9520949
1157,4.73E-02,0.952591
1158,4.71E-02,0.9527662
1159,4.73E-02,0.952611
1160,4.78E-02,0.9521345
1161,4.85E-02,0.9513642
1162,4.96E-02,0.9503428
1163,5.08E-02,0.9491262
1164,5.21E-02,0.9477792
1165,5.35E-02,0.946372
1166,5.49E-02,0.9449759
1167,5.62E-02,0.9436602
1168,5.74E-02,0.9424884
1169,5.84E-02,0.941516
1170,5.91E-02,0.9407884
1171,5.96E-02,0.9403387
1172,5.97E-02,0.9401874
1173,5.96E-02,0.940341
1174,5.91E-02,0.9407923
1175,5.84E-02,0.9415199
1176,5.74E-02,0.9424892
1177,5.63E-02,0.9436535
1178,5.50E-02,0.9449553
1179,0.0535796,0.9463289
1180,0.0522051,0.9477033
1181,5.09E-02,0.9490052
1182,4.97E-02,0.9501641
1183,4.88E-02,0.9511152
1184,4.81E-02,0.9518039
1185,4.77E-02,0.9521891
1186,4.77E-02,0.9522463
1187,4.79E-02,0.9519687
1188,4.85E-02,0.9513679
1189,4.94E-02,0.9504728
1190,5.06E-02,0.9493281
1191,5.19E-02,0.9479902
1192,5.34E-02,0.9465249
1193,5.49E-02,0.9450024
1194,5.64E-02,0.9434941
1195,5.78E-02,0.942069
1196,5.91E-02,0.9407907
1197,6.02E-02,0.9397145
1198,6.10E-02,0.9388862
1199,6.16E-02,0.9383399
1200,6.18E-02,0.9380975
1201,6.17E-02,0.9381675
1202,6.14E-02,0.9385445
1203,0.060701,0.9392101
1204,5.98E-02,0.9401322
1205,5.86E-02,0.9412659
1206,5.74E-02,0.9425545
1207,5.60E-02,0.9439312
1208,5.46E-02,0.9453215
1209,5.33E-02,0.9466462
1210,5.21E-02,0.9478253
1211,5.11E-02,0.9487826
1212,5.05E-02,0.9494503
1213,5.01E-02,0.9497733
1214,5.02E-02,0.9497135
1215,0.0506572,0.949253
1216,5.15E-02,0.9483953
1217,0.052745,0.9471655
1218,5.43E-02,0.9456092
1219,5.61E-02,0.9437889
1220,5.81E-02,0.9417803
1221,6.02E-02,0.9396679
1222,6.24E-02,0.9375388
1223,6.44E-02,0.9354791
1224,6.63E-02,0.9335698
1225,6.80E-02,0.931883
1226,6.94E-02,0.9304802
1227,7.05E-02,0.9294099
1228,0.0712061,0.928707
1229,0.0715204,0.9283928
1230,7.14E-02,0.9284741
1231,7.10E-02,0.9289445
1232,0.0701294,0.9297835
1233,6.90E-02,0.9309579
1234,6.75E-02,0.9324214
1235,0.0657967,0.9341156
1236,6.39E-02,0.9359709
1237,6.20E-02,0.9379078
1238,6.01E-02,0.9398391
1239,5.82E-02,0.9416728
1240,5.66E-02,0.9433163
1241,5.52E-02,0.9446811
1242,5.42E-02,0.9456885
1243,5.36E-02,0.9462752
1244,0.0535126,0.9463977
1245,0.0538725,0.9460378
1246,5.47E-02,0.9452042
1247,0.0559773,0.9439333
1248,5.76E-02,0.9422875
1249,5.96E-02,0.9403514
1250,6.17E-02,0.9382262
1251,6.39E-02,0.9360232
1252,6.61E-02,0.9338568
1253,6.81E-02,0.9318375
1254,6.98E-02,0.9300661
1255,7.13E-02,0.9286287
1256,7.23E-02,0.9275931
1257,7.29E-02,0.9270061
1258,7.30E-02,0.9268926
1259,7.27E-02,0.9272556
1260,7.18E-02,0.9280757
1261,7.06E-02,0.9293128
1262,6.90E-02,0.9309078
1263,6.71E-02,0.9327841
1264,6.51E-02,0.9348497
1265,6.29E-02,0.9369991
1266,6.08E-02,0.9391173
1267,5.88E-02,0.9410826
1268,5.71E-02,0.9427717
1269,5.58E-02,0.9440655
1270,5.51E-02,0.9448554
1271,5.49E-02,0.9450511
1272,5.53E-02,0.9445885
1273,5.65E-02,0.9434361
1274,5.83E-02,0.9416016
1275,6.08E-02,0.9391344
1276,6.38E-02,0.9361262
1277,6.72E-02,0.9327078
1278,7.09E-02,0.9290424
1279,7.46E-02,0.9253163
1280,7.82E-02,0.9217289
1281,0.0814283,0.9184821
1282,8.41E-02,0.9157641
1283,8.62E-02,0.9137449
1284,8.73E-02,0.9125655
1285,8.76E-02,0.9123306
1286,8.68E-02,0.9131023
1287,8.50E-02,0.9148952
1288,8.22E-02,0.9176719
1289,7.86E-02,0.9213402
1290,7.42E-02,0.9257506
1291,6.92E-02,0.9306965
1292,6.40E-02,0.9359163
1293,5.88E-02,0.9411009
1294,5.40E-02,0.9459053
1295,4.99E-02,0.949968
1296,4.70E-02,0.9529376
1297,4.54E-02,0.9545038
