Preliminary design data,,
1901,,
Wavelength (nm),%R,%T
910,0.9278173,7.21E-02
911,0.929717,7.02E-02
912,0.9287269,7.12E-02
913,0.9253902,7.45E-02
914,0.9199329,8.00E-02
915,0.9123875,8.75E-02
916,0.9025837,9.73E-02
917,0.8898427,0.1100662
918,0.8712382,0.128662
919,0.8281292,0.1717453
920,0.6459947,0.35375
921,0.7538381,0.246021
922,0.7895423,0.2103451
923,0.7870635,0.2128283
924,0.7764947,0.2233974
925,0.7634802,0.2364113
926,0.7496634,0.2502275
927,0.7356521,0.2642383
928,0.7216756,0.2782145
929,0.7077838,0.2921062
930,0.6939255,0.3059646
931,0.6799915,0.3198987
932,0.6658467,0.3340437
933,0.6513582,0.3485323
934,0.6364199,0.3634705
935,0.6209702,0.37892
936,0.6049982,0.3948915
937,0.5885335,0.4113555
938,0.5716134,0.4282745
939,0.5542261,0.4456602
940,0.5362242,0.46366
941,0.5171988,0.4826826
942,0.4963661,0.5035115
943,0.4723487,0.5275239
944,0.4429901,0.5568756
945,0.4052531,0.5946038
946,0.3555961,0.6442495
947,0.2917063,0.7081264
948,0.2164361,0.7833841
949,0.1416989,0.8581135
950,8.46E-02,0.9151646
951,5.48E-02,0.9450408
952,4.76E-02,0.9522262
953,5.20E-02,0.9477986
954,5.90E-02,0.9408816
955,6.36E-02,0.9362615
956,6.44E-02,0.9354317
957,6.19E-02,0.9379815
958,5.73E-02,0.9425246
959,5.25E-02,0.9473189
960,4.91E-02,0.9507886
961,4.79E-02,0.9519633
962,0.0491512,0.9507101
963,5.22E-02,0.9476354
964,5.61E-02,0.9437757
965,0.059647,0.9402203
966,0.0620444,0.9378246
967,6.28E-02,0.937069
968,6.18E-02,0.9380351
969,5.94E-02,0.9404477
970,5.61E-02,0.9437526
971,5.27E-02,0.9472214
972,0.0497831,0.9500885
973,4.82E-02,0.9517092
974,4.82E-02,0.9517113
975,4.98E-02,0.9500878
976,5.27E-02,0.9471961
977,5.62E-02,0.9436586
978,5.97E-02,0.9402068
979,6.24E-02,0.9375203
980,6.38E-02,0.9361042
981,0.0636593,0.9362193
982,6.20E-02,0.9378598
983,5.91E-02,0.9407724
984,5.54E-02,0.944496
985,5.15E-02,0.9484263
986,4.80E-02,0.9519041
987,4.56E-02,0.9543195
988,4.47E-02,0.955223
989,4.55E-02,0.9544142
990,4.79E-02,0.951986
991,5.16E-02,0.9483055
992,5.59E-02,0.9439396
993,6.03E-02,0.9395473
994,6.41E-02,0.9357669
995,6.68E-02,0.9331239
996,6.79E-02,0.9319699
997,6.74E-02,0.9324501
998,6.54E-02,0.9344965
999,6.20E-02,0.9378405
1000,5.78E-02,0.9420436
1001,5.33E-02,0.9465447
1002,0.049146,0.9507383
1003,4.58E-02,0.9540489
1004,0.0438616,0.9560225
1005,4.35E-02,0.9563997
1006,4.47E-02,0.9551589
1007,4.74E-02,0.9525132
1008,0.0510188,0.9488674
1009,5.51E-02,0.9447437
1010,5.92E-02,0.9406983
1011,6.26E-02,0.9372451
1012,0.065093,0.9347962
1013,0.0662647,0.9336249
1014,6.60E-02,0.9338441
1015,6.45E-02,0.9353999
1016,6.18E-02,0.9380878
1017,5.83E-02,0.9415683
1018,5.45E-02,0.9454061
1019,5.08E-02,0.9491206
1020,0.0476408,0.9522479
1021,4.55E-02,0.9544038
1022,4.45E-02,0.9553429
1023,4.49E-02,0.9549879
1024,4.65E-02,0.9534365
1025,4.90E-02,0.9509374
1026,5.20E-02,0.9478447
1027,5.53E-02,0.9445634
1028,0.0583979,0.9414939
1029,6.09E-02,0.9389864
1030,6.26E-02,0.9373079
1031,6.33E-02,0.9366198
1032,6.29E-02,0.936968
1033,6.16E-02,0.9382817
1034,0.0595097,0.9403833
1035,5.69E-02,0.9430069
1036,5.41E-02,0.9458284
1037,5.14E-02,0.9485039
1038,4.92E-02,0.9507144
1039,4.77E-02,0.9522082
1040,4.71E-02,0.9528356
1041,4.73E-02,0.9525672
1042,4.84E-02,0.9514931
1043,5.01E-02,0.9498023
1044,5.21E-02,0.9477524
1045,5.43E-02,0.945631
1046,0.0561749,0.9437202
1047,5.76E-02,0.9422647
1048,5.84E-02,0.9414485
1049,5.85E-02,0.9413787
1050,5.78E-02,0.9420764
1051,5.64E-02,0.9434752
1052,0.0544692,0.9454265
1053,5.22E-02,0.9477122
1054,4.98E-02,0.9500675
1055,4.77E-02,0.9522086
1056,4.60E-02,0.9538691
1057,4.51E-02,0.9548326
1058,4.49E-02,0.954964
1059,4.57E-02,0.9542271
1060,4.72E-02,0.9526883
1061,4.94E-02,0.9505128
1062,5.20E-02,0.947922
1063,5.47E-02,0.9451795
1064,0.0573411,0.942557
1065,5.96E-02,0.9403078
1066,6.13E-02,0.9386429
1067,6.22E-02,0.9377162
1068,6.23E-02,0.9376118
1069,0.0615604,0.9383386
1070,6.01E-02,0.9398282
1071,5.80E-02,0.9419392
1072,5.54E-02,0.9444664
1073,5.27E-02,0.9471579
1074,5.02E-02,0.9497386
1075,4.80E-02,0.9519386
1076,4.64E-02,0.953524
1077,4.56E-02,0.9543247
1078,4.56E-02,0.9542543
1079,4.66E-02,0.953319
1080,4.83E-02,0.9516137
1081,5.06E-02,0.9493048
1082,0.0532866,0.9466125
1083,5.61E-02,0.9437823
1084,5.88E-02,0.9410623
1085,6.12E-02,0.9386782
1086,6.31E-02,0.9368216
1087,6.43E-02,0.9356357
1088,0.0646947,0.9352069
1089,6.43E-02,0.9355596
1090,6.32E-02,0.9366537
1091,6.15E-02,0.9383861
1092,5.93E-02,0.9405968
1093,5.68E-02,0.9430804
1094,5.43E-02,0.9456032
1095,0.0519748,0.9479257
1096,0.0500727,0.9498277
1097,4.88E-02,0.9511322
1098,4.82E-02,0.9517257
1099,0.0483316,0.9515689
1100,4.92E-02,0.9506979
1101,5.07E-02,0.9492182
1102,5.26E-02,0.9472828
1103,5.48E-02,0.9450765
1104,5.71E-02,0.9427963
1105,5.93E-02,0.9406335
1106,0.0611434,0.9387602
1107,6.26E-02,0.937319
1108,6.35E-02,0.9364153
1109,0.0637923,0.9361122
1110,6.35E-02,0.9364271
1111,6.26E-02,0.93733
1112,6.12E-02,0.9387445
1113,5.94E-02,0.9405513
1114,5.73E-02,0.9425967
1115,5.52E-02,0.9447042
1116,5.32E-02,0.9466909
1117,5.15E-02,0.9483861
1118,0.0502543,0.9496493
1119,0.0495181,0.9503854
1120,4.93E-02,0.9505546
1121,4.97E-02,0.9501718
1122,5.06E-02,0.9493071
1123,5.18E-02,0.9480714
1124,5.33E-02,0.9466018
1125,5.49E-02,0.9450457
1126,5.64E-02,0.943547
1127,5.77E-02,0.9422351
1128,5.87E-02,0.9412163
1129,5.93E-02,0.9405694
1130,5.96E-02,0.9403408
1131,0.0593597,0.9405461
1132,5.87E-02,0.9411666
1133,5.78E-02,0.9421513
1134,5.65E-02,0.943419
1135,5.50E-02,0.9448632
1136,0.0535462,0.9463595
1137,5.21E-02,0.9477761
1138,5.09E-02,0.9489859
1139,5.00E-02,0.9498804
1140,4.95E-02,0.9503815
1141,0.0494552,0.9504507
1142,4.98E-02,0.9500948
1143,5.05E-02,0.9493598
1144,5.16E-02,0.9483266
1145,5.28E-02,0.9471004
1146,5.41E-02,0.9457989
1147,5.54E-02,0.9445401
1148,5.65E-02,0.9434318
1149,5.73E-02,0.9425638
1150,5.79E-02,0.9420031
1151,5.81E-02,0.9417905
1152,5.80E-02,0.9419402
1153,5.75E-02,0.9424393
1154,5.67E-02,0.9432493
1155,5.56E-02,0.9443072
1156,0.0543794,0.9455287
1157,0.0530956,0.9468125
1158,5.19E-02,0.9480461
1159,5.08E-02,0.9491148
1160,5.00E-02,0.9499115
1161,0.0495606,0.9503474
1162,4.95E-02,0.9503629
1163,5.00E-02,0.9499345
1164,5.08E-02,0.9490784
1165,5.21E-02,0.9478497
1166,5.36E-02,0.9463363
1167,5.53E-02,0.9446493
1168,5.70E-02,0.9429113
1169,5.87E-02,0.9412438
1170,6.02E-02,0.9397572
1171,6.14E-02,0.9385426
1172,6.22E-02,0.9376661
1173,6.27E-02,0.9371671
1174,0.0628521,0.937058
1175,6.26E-02,0.9373255
1176,6.20E-02,0.9379338
1177,6.11E-02,0.9388262
1178,0.0599809,0.9399289
1179,5.88E-02,0.9411536
1180,5.75E-02,0.9424018
1181,5.63E-02,0.9435688
1182,5.54E-02,0.9445513
1183,0.054655,0.9452544
1184,5.43E-02,0.9456002
1185,5.44E-02,0.945537
1186,0.0548631,0.9450466
1187,5.58E-02,0.9441482
1188,5.70E-02,0.9428996
1189,5.85E-02,0.9413926
1190,6.02E-02,0.9397454
1191,6.18E-02,0.9380912
1192,6.33E-02,0.936566
1193,6.46E-02,0.9352967
1194,6.55E-02,0.9343901
1195,0.0659866,0.9339256
1196,6.60E-02,0.9339499
1197,6.54E-02,0.9344754
1198,6.44E-02,0.935481
1199,6.30E-02,0.9369144
1200,6.12E-02,0.9386967
1201,5.92E-02,0.9407263
1202,5.70E-02,0.9428872
1203,5.49E-02,0.945053
1204,5.28E-02,0.9470943
1205,5.10E-02,0.9488851
1206,4.96E-02,0.9503109
1207,4.86E-02,0.9512761
1208,4.82E-02,0.951712
1209,4.83E-02,0.9515831
1210,4.90E-02,0.9508921
1211,5.02E-02,0.9496819
1212,5.19E-02,0.9480336
1213,5.39E-02,0.9460618
1214,5.60E-02,0.9439051
1215,5.82E-02,0.9417157
1216,6.03E-02,0.9396471
1217,6.21E-02,0.9378422
1218,6.35E-02,0.9364229
1219,6.44E-02,0.935482
1220,6.48E-02,0.9350773
1221,6.47E-02,0.9352292
1222,6.40E-02,0.9359201
1223,6.28E-02,0.9370968
1224,6.12E-02,0.938674
1225,5.94E-02,0.94054
1226,5.74E-02,0.942563
1227,5.53E-02,0.9445988
1228,5.34E-02,0.9464992
1229,5.18E-02,0.948121
1230,0.0505783,0.9493347
1231,0.0498791,0.9500338
1232,4.98E-02,0.9501429
1233,0.0502887,0.9496244
1234,5.14E-02,0.9484829
1235,5.31E-02,0.9467673
1236,5.53E-02,0.9445683
1237,5.79E-02,0.9420133
1238,6.07E-02,0.9392578
1239,0.0634407,0.9364743
1240,6.61E-02,0.9338401
1241,6.84E-02,0.9315256
1242,0.070235,0.929681
1243,7.15E-02,0.9284284
1244,7.21E-02,0.9278533
1245,7.19E-02,0.9279999
1246,7.10E-02,0.9288672
1247,0.0695067,0.9304094
1248,6.74E-02,0.9325368
1249,6.48E-02,0.9351199
1250,6.19E-02,0.937996
1251,5.89E-02,0.9409773
1252,5.61E-02,0.943862
1253,5.35E-02,0.946447
1254,5.14E-02,0.948542
1255,0.0499294,0.9499838
1256,4.93E-02,0.95065
1257,4.94E-02,0.9504701
1258,5.05E-02,0.949433
1259,5.23E-02,0.9475893
1260,5.49E-02,0.9450492
1261,0.0579385,0.941975
1262,6.13E-02,0.9385678
1263,6.49E-02,0.9350542
1264,6.82E-02,0.9316703
1265,7.13E-02,0.9286458
1266,7.37E-02,0.9261895
1267,7.54E-02,0.9244774
1268,7.63E-02,0.9236422
1269,7.61E-02,0.9237657
1270,7.50E-02,0.924873
1271,7.30E-02,0.9269289
1272,0.0700786,0.9298365
1273,6.65E-02,0.9334383
1274,6.24E-02,0.9375205
1275,5.81E-02,0.9418214
1276,5.39E-02,0.9460444
1277,5.00E-02,0.9498764
1278,4.69E-02,0.95301
1279,4.47E-02,0.9551703
1280,4.38E-02,0.9561403
1281,4.41E-02,0.9557849
1282,4.58E-02,0.9540681
1283,4.89E-02,0.9510586
1284,5.30E-02,0.9469276
1285,5.80E-02,0.9419351
1286,6.35E-02,0.936408
1287,6.92E-02,0.9307146
1288,7.47E-02,0.925236
1289,7.96E-02,0.9203405
1290,8.36E-02,0.9163592
1291,8.63E-02,0.9135665
1292,8.78E-02,0.9121621
1293,8.77E-02,0.912257
1294,8.61E-02,0.9138592
1295,8.30E-02,0.9168646
1296,7.89E-02,0.9210492
1297,0.0738382,0.9260705
1298,6.84E-02,0.9314802
1299,6.32E-02,0.9367526
1300,0.058573,0.9413319
1301,5.52E-02,0.9446955
1302,5.35E-02,0.9464267
1303,5.36E-02,0.9462776
1304,5.57E-02,0.9442143
1305,5.95E-02,0.9404301
1306,6.46E-02,0.9353291
1307,7.04E-02,0.9294851
1308,7.63E-02,0.9235896
1309,8.15E-02,0.9183895
1310,0.0852896,0.9146116
1311,8.71E-02,0.9128425
1312,8.66E-02,0.9133161
1313,8.44E-02,0.915536
1314,8.22E-02,0.9176728
1315,8.40E-02,0.9158453
1316,9.60E-02,0.9039162
1317,0.1246905,0.8751803
1318,0.1731009,0.8267695
1319,0.2360614,0.7638133
1320,0.3020878,0.6977943
1321,0.3601865,0.6397043
1322,0.4047422,0.5951566
1323,0.4352901,0.5646151
1324,0.4541614,0.5457484
1325,0.4646686,0.5352441
1326,0.4703597,0.5295546
1327,0.4748867,0.5250281
1328,0.481988,0.5179268
1329,0.4952385,0.5046762
1330,0.5174183,0.4824969
1331,0.5496613,0.4502551
1332,0.5908879,0.4090311
1333,0.6380367,0.361886
1334,0.687105,0.3128222
1335,0.7344024,0.2655298
1336,0.7773651,0.2225723
1337,0.8147238,0.1852186
1338,0.846239,0.1537081
1339,0.8723043,0.1276469
1340,0.8936099,0.1063449
1341,0.9109166,8.90E-02
1342,0.9249541,7.50E-02
1343,0.9363509,6.36E-02
1344,0.9456301,5.43E-02
1345,0.9532156,4.68E-02
1346,0.9594461,4.05E-02
1347,0.9645899,3.54E-02
1348,0.9688588,3.11E-02
1349,0.9724203,0.0275534
1350,0.9754066,2.46E-02
1351,0.9779226,2.21E-02
1352,0.9800519,1.99E-02
1353,0.9818612,1.81E-02
1354,0.9834042,1.66E-02
1355,0.984724,1.53E-02
1356,0.9858557,1.41E-02
1357,0.9868277,1.32E-02
1358,0.9876632,1.23E-02
1359,0.9883813,1.16E-02
1360,0.9889976,1.10E-02
1361,0.9895247,0.0104576
1362,0.9899732,1.00E-02
1363,0.9903517,9.63E-03
1364,0.9906672,9.32E-03
1365,0.9909253,9.06E-03
1366,0.9911305,8.85E-03
1367,0.991286,8.70E-03
1368,0.9913946,8.59E-03
1369,0.9914579,8.53E-03
1370,0.9914766,8.51E-03
1371,0.991451,8.53E-03
1372,0.9913806,8.61E-03
1373,0.9912638,8.72E-03
1374,0.9910986,8.89E-03
1375,0.9908819,9.10E-03
1376,0.9906099,9.38E-03
1377,0.9902778,9.71E-03
1378,0.9898797,1.01E-02
1379,0.9894087,1.06E-02
1380,0.9888564,1.11E-02
1381,0.9882155,1.18E-02
1382,0.9874744,0.0125128
1383,0.9866223,1.34E-02
1384,0.9856482,1.43E-02
1385,0.9845426,0.0154449
1386,0.9832996,1.67E-02
1387,0.9819205,1.81E-02
1388,0.9804204,1.96E-02
1389,0.9788345,2.12E-02
1390,0.9772264,2.28E-02
1391,0.9756901,2.43E-02
1392,0.9743391,2.56E-02
1393,0.9732832,2.67E-02
1394,0.972602,0.0273859
1395,0.9723326,2.77E-02
1396,0.9724733,2.75E-02
1397,0.9729904,2.70E-02
1398,0.9738266,2.62E-02
1399,0.9749077,2.51E-02
1400,0.9761524,2.38E-02
1401,0.977487,2.25E-02
1402,0.9788398,2.11E-02
1403,0.9801582,1.98E-02
1404,0.9814053,0.0185838
1405,0.9825584,1.74E-02
1406,0.9836054,0.0163839
1407,0.9845425,1.54E-02
1408,0.9853708,1.46E-02
1409,0.9860946,1.39E-02
1410,0.98672,1.33E-02
1411,0.9872536,1.27E-02
1412,0.987702,1.23E-02
1413,0.9880713,1.19E-02
1414,0.988367,1.16E-02
1415,0.9885936,0.0113964
1416,0.9887551,1.12E-02
1417,0.9888545,1.11E-02
1418,0.9888941,1.11E-02
1419,0.9888756,1.11E-02
1420,0.9888,1.12E-02
1421,0.9886683,1.13E-02
1422,0.988481,1.15E-02
1423,0.9882389,1.18E-02
1424,0.9879436,1.20E-02
1425,0.9875977,1.24E-02
1426,0.9872054,1.28E-02
1427,0.9867734,1.32E-02
1428,0.9863107,1.37E-02
1429,0.9858284,1.42E-02
1430,0.9853391,1.47E-02
1431,0.9848556,1.51E-02
1432,0.9843901,1.56E-02
1433,0.9839547,0.0160355
1434,0.983562,1.64E-02
1435,0.9832258,1.68E-02
1436,0.9829615,1.70E-02
1437,0.9827849,1.72E-02
1438,0.9827097,1.73E-02
1439,0.9827453,1.72E-02
1440,0.9828951,1.71E-02
1441,0.9831534,0.0168369
